ID,naive_B_cell,memory_B_cell,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell
S11008,7.05294666667,6.17472,6.9022,7.8807,5.37336666667,5.98789375,6.48502727273,5.31009230769
S11010,6.49845333333,6.03606,6.85988333333,7.306725,5.42401666667,5.8753875,6.40960909091,5.32019230769
S11013,6.86270666667,6.10348,6.66158333333,8.215125,5.35121666667,5.82798125,6.59724545455,5.24817692308
S11016,6.96575333333,6.03578,7.37761666667,8.336175,5.7118,5.7456125,6.59787272727,5.41202307692
S11017,6.78194666667,6.0705,6.63813333333,7.635875,5.28914166667,6.0717625,6.70635454545,5.31136923077
S11020,6.99798666667,6.03962,6.75871666667,8.00885,5.52569166667,5.91645625,6.71280909091,5.30173076923
S11027,6.66344666667,5.984,6.9053,7.9274,5.468175,5.895225,6.60688181818,5.3775
S11035,6.56838666667,5.99868,7.07026666667,7.811075,5.18170833333,5.888075,6.28528181818,5.26968461538
S11041,6.79324,6.01304,7.08321666667,7.98815,5.34870833333,5.8545875,6.34844545455,5.18593846154
S1106,6.94142666667,6.193,7.03948333333,8.2639,5.467825,5.72275,6.46883636364,5.33664615385
S11071,7.17576666667,6.02042,7.4372,8.748,5.42504166667,5.7466625,6.43452727273,5.36599230769
S11076,6.77312,6.10044,6.90913333333,7.91285,5.39971666667,5.7649375,6.43983636364,5.23938461538
S11078,7.0123,6.27674,6.80025,7.974175,5.28515833333,5.75055625,6.48362727273,5.35893076923
S11081,6.87888,6.08784,6.67275,8.06115,5.423375,5.7341875,6.57743636364,5.37829230769
S11086,6.87085333333,6.10024,6.7752,8.0538,5.37841666667,5.81065625,6.43664545455,5.36260769231
S1109,6.8182,6.18486,6.89895,8.084475,5.56469166667,6.1631125,6.71159090909,5.25787692308
S11096,6.80391333333,6.03754,6.64546666667,7.99725,5.34784166667,6.06216875,6.62307272727,5.28862307692
S11100,7.07087333333,5.87774,6.84555,8.0769,5.28955,5.826725,6.31121818182,5.32641538462
S11107,6.96038666667,5.99922,6.87628333333,8.04085,5.22178333333,5.90455625,6.39355454545,5.29452307692
S11109,6.80438,6.05086,6.77495,7.402375,5.30435,5.95545625,6.3987,5.29623076923
S1111,6.68897333333,6.0569,7.69258333333,8.368125,5.528775,5.9559875,6.60878181818,5.39203076923
S11119,6.76931333333,5.96834,7.03808333333,7.9799,5.279525,5.87060625,6.29217272727,5.26253076923
S11127,6.57578666667,5.9017,7.24856666667,8.1914,5.55463333333,5.84551875,6.5129,5.26372307692
S11136,6.63347333333,5.93706,6.98905,7.865425,5.35236666667,5.7507375,6.44470909091,5.40408461538
S11147,6.81331333333,6.0655,7.10636666667,8.038575,5.42533333333,5.76818125,6.46867272727,5.23201538462
S11150,6.83419333333,6.02498,7.11258333333,7.972225,5.42089166667,5.82235,6.41249090909,5.37143076923
S11152,6.94109333333,6.122,6.58721666667,7.637125,5.585275,5.94764375,6.48512727273,5.32692307692
S1116,7.03053333333,6.05976,7.45106666667,8.8024,5.342975,5.878775,6.72543636364,5.37644615385
S11163,7.00528666667,6.04878,7.22936666667,8.276225,5.3512,5.81458125,6.47185454545,5.24926923077
S11164,6.67088666667,6.05416,6.6179,7.351925,5.34315833333,6.14515,6.58022727273,5.3887
S11166,6.74471333333,6.22076,6.27611666667,6.949075,5.33959166667,5.87926875,6.36881818182,5.47026923077
S11173,7.16302,6.23242,7.1128,7.818375,5.2759,5.84298125,6.46581818182,5.23743846154
S11174,6.65618666667,5.8831,7.22906666667,8.13455,5.38120833333,5.8261625,6.35743636364,5.25785384615
S11182,7.16477333333,6.0556,7.13621666667,8.413575,5.439175,5.7614375,6.57938181818,5.35443076923
S11188,6.78164,6.1668,6.7423,7.626775,5.533425,5.829425,6.60782727273,5.29481538462
S11189,6.91978666667,6.0029,7.22565,8.44,5.28744166667,5.88515,6.46770909091,5.31803076923
