Bcells	CD4_Tcells	CD8_Tcells	Monocytes	Neutrophils	NKcells	otherCells
mix_57	0.0124795028431396	0.0832514596454163	0.193310758022291	0.0705342064719556	2.99012603441915e-08	0.0562585437944181	0.58416549932152
mix_58	0.10862761754016	2.81793571449667e-05	0.339048426300189	0.0338218867692188	1.63185864811167e-08	0.0619397016775534	0.456534172037148
mix_59	0.0181768902740439	1.07741435055374e-09	0.320515023038747	0.0763883423629295	1.23776371206999e-07	0.0474594384516034	0.53746018101889
mix_60	0.19504775765024	2.62441847309648e-06	0.29537291694939	0.0486765032239349	2.29270947779732e-07	9.07878184108132e-10	0.460899967579136
mix_61	0.157351082868668	0.181250112736462	0.271153903478202	0.00417027704532709	1.54763414571576e-07	0.00564500425173421	0.380429464856192
mix_62	0.135201533090325	0.180544200878998	0.171081040752793	0.0113170392477717	2.39428721438725e-08	0.0707957457538389	0.431060416333402
mix_63	0.0271184507877365	9.89035910985709e-09	0.29494444543538	0.0753404604732813	2.85937789343656e-09	0.0272390476885434	0.575357582865321
mix_64	0.135384764680813	0.103509915282433	0.124485284120687	0.0726592319697386	4.70584344968659e-09	1.07562457258371e-08	0.56396078848424
mix_65	0.100366893673401	0.016431032597594	0.22814882363094	0.0406306125711067	2.47146977141199e-09	0.128033385936615	0.486389249118874
mix_66	0.157532368772721	8.84592317365734e-09	0.113456782459909	0.0813721193517882	4.15270941609655e-05	0.0701005244119105	0.577496669063587
mix_67	0.209640278273889	0.000971362849723914	0.341559768467932	0.00818289897295456	1.13494686405296e-07	0.0829519398144519	0.356693638126362
mix_68	0.052886662202411	3.45096739569794e-09	0.466456382935545	0.0175245416904093	5.17639245311638e-10	0.100322869315794	0.362809539887233
mix_69	0.127372861476642	0.0337738307992237	0.201904590384858	0.0745928008587282	7.03590444266040e-09	6.68948619467326e-08	0.562355842549782
mix_70	0.265925833961574	1.2361726422397e-07	0.0237441392203552	0.0541174609811199	2.09963746892251e-07	0.174082028480189	0.48213020377575
mix_71	0.193579704509719	3.18650181229879e-07	0.116336700985115	0.0962072063379188	4.06856286531782e-07	3.42783786980729e-10	0.593875662317995
mix_72	0.313483261994667	0.110527949156392	0.13733253460265	0.0209003486842299	5.11432442416654e-07	0.0147611695911088	0.402994224538511
mix_73	0.219451525000782	1.49813551738094e-09	0.195977217092739	0.0382605970246001	5.48140982121991e-06	0.121405731258076	0.424899446715845
mix_74	0.158395717155427	0.119145730370165	0.106368379141954	0.0512111493612734	5.41694341661371e-08	0.0396686925045907	0.525210277297156
