ID,B_cells,Blood_CD34._cells,Dendritic_cells,Eosinophils,Fibroblasts,Keratinocytes,Lymphatic_endothelial_cells,Macrophages,Monocytes,NK_cells,Neutrophils,Plasma_cells_CD138.,Platelets,Reticulocytes,Subcutaneous_Adipose,T_cells_CD3.,T_cells_CD4.,T_cells_CD8.,T_cells_Gamma_Delta,T_cells_Regulatory,Vascular_Endothelial_Cells
S10205,6.837124,6.184062,6.218298,6.66602,6.411314,5.745142,6.164674,6.368376,7.425026,6.965086,7.944728,5.663142,6.40779,4.962026,5.325526,6.893338,7.135274,7.451398,6.931512,6.386698,6.598184
S10211,6.38741,6.043694,6.11459,6.539614,6.30009,5.72252,6.084614,6.104868,7.191444,6.553886,7.377526,5.597902,6.221312,5.174216,5.29685,6.57975,6.717044,7.073442,6.493194,6.088022,6.4161
S10221,6.716168,6.302568,6.2389,6.77395,6.470216,5.817784,6.279706,6.341514,7.385708,6.932436,7.772364,5.635486,6.454864,5.045502,5.375522,6.914966,7.1532,7.470684,6.988084,6.469588,6.621582
S10222,6.454782,5.906698,5.971854,6.644116,6.285604,5.595292,6.102762,6.063516,7.16093,6.451518,7.68734,5.400446,6.224962,5.081876,5.25085,6.611402,6.61941,7.13972,6.491262,6.23206,6.43471
S10226,6.749142,6.060718,6.140544,6.698978,6.358706,5.709958,6.07292,6.22624,7.395402,6.778886,7.840874,5.441658,6.28914,4.968918,5.254866,6.760048,6.917648,7.352658,6.745622,6.340906,6.531652
S10227,6.437498,6.035548,6.121626,6.783154,6.355294,5.708138,6.224614,6.261666,7.398956,6.60038,7.773414,5.491012,6.338084,5.077338,5.268162,6.694272,6.766536,7.19096,6.637878,6.258198,6.510118
S10228,6.585972,6.06374,6.158678,6.693498,6.306718,5.688066,6.15831,6.249702,7.251448,6.737064,7.730594,5.465542,6.299104,5.03774,5.298268,6.810104,6.887218,7.36781,6.719954,6.325706,6.444134
S10232,6.545236,6.115684,6.054356,6.461078,6.293436,5.723436,6.148974,6.093618,6.990186,6.56519,7.172984,5.567502,6.099002,5.212716,5.34258,6.782772,6.884236,7.124908,6.599604,6.260194,6.366486
S10248,6.74869,6.173052,6.00866,6.550572,6.247408,5.748916,6.021978,6.216434,7.219124,6.904202,7.658196,5.59599,6.210706,4.942236,5.33702,6.786426,7.14677,7.254484,6.745384,6.307008,6.523792
S10249,6.451408,5.999676,6.249274,6.746456,6.364264,5.719788,6.161796,6.41919,7.721514,6.624752,7.834988,5.6131,6.221502,4.99406,5.266614,6.683956,6.561518,7.151818,6.687716,6.24977,6.587194
S1025,6.741018,6.175564,6.25847,6.736226,6.372756,5.75219,6.170304,6.26121,7.440298,6.978668,7.648182,5.532288,6.268494,4.963704,5.340142,6.824462,6.996288,7.477216,6.83097,6.40329,6.624248
S10266,6.379012,5.906318,6.125374,6.66914,6.324614,5.720284,6.215566,6.262544,7.429618,6.405346,7.71987,5.461192,6.220966,5.152324,5.307128,6.724724,6.63027,7.175768,6.539994,6.237162,6.506644
