Mixture	B_cells	T_cells_(CD4+)	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage	P-value	Correlation	RMSE
Mix_91	0.518534108104137	0.261848048284431	0.159930239027814	0.0596876045836179	0	0	9999	0.658741237096349	0.806821081841913
Mix_92	0.499612184162373	0.199384880536584	0.262415620916426	0.0306950550659412	0	0.00789225931867568	9999	0.659942849934676	0.806506965587704
Mix_93	0.490759549363084	0.297090170526266	0.126368868874964	0.0660231890606849	0	0.0197582221750004	9999	0.674395344962179	0.78671817493178
Mix_94	0.552366514259875	0.270073705686056	0.127358170895559	0.0502016091585099	0	0	9999	0.666658027819519	0.797460106805413
Mix_95	0.430407626467116	0.270619713295242	0.248110362013869	0.0508622982237731	0	0	9999	0.667259310525063	0.798292028937755
Mix_96	0.397727201621023	0.288171096028208	0.257690668449158	0.0558386816065998	0	0.000572352295012143	9999	0.670406009454793	0.794764893776207
Mix_97	0.533662369413732	0.164895136191058	0.242595134579601	0.0487931288179182	0	0.0100542309976912	9999	0.660183200019432	0.805118920948577
Mix_98	0.568692999158567	0.225184962418268	0.0793108353795312	0.0823451972768302	0	0.0444660057668039	9999	0.663954852891277	0.796295387884101
Mix_99	0.346849724300801	0.334047193134409	0.281103056014656	0.0380000265501346	0	0	9999	0.672118446638581	0.794291909548828
Mix_100	0.538574509455644	0.200877326348309	0.187836256204602	0.0466970613206987	0	0.0260148466707458	9999	0.66654149424111	0.796144595678863
