	B Cells	Basophils	CD4+ T-cells	CD8+ T-cells	Endothelial cells	Eosinophils	Fibroblasts	Macrophages	Mast cells	Monocytes	NK cells	Neutrophils
S21199	0.0485	0.017	0.3087	0.0557	0.0134	0.5075	0	0.0587	0.0224	0.1424	0.1279	0.1446
S21202	0	0	0.3157	0.0257	0	0.7794	0	0.0098	0.0086	0.0207	0.0317	0.178
S21207	0.1943	0	0.3807	0.0934	0.0296	0.3205	0	0.0161	0.0279	0.0696	0.1606	0.1228
S21208	0.2028	0	0.3097	0.0614	0.0197	0.2529	0	0.0222	0.0075	0.1534	0.0058	0.1656
S21213	0.0048	0	0.2771	0.0685	0	0.5943	0	0.0349	0	0.0617	0.086	0.1291
S21216	0.1728	0	0.3616	0.0866	0.0027	0.3201	0	0.0722	0.0098	0.1127	0.042	0.1397
S21218	0.0933	0	0.2582	0.0415	0.0352	0.3898	0	0.0205	0	0.1115	0.0923	0.1642
S21221	0.0241	0	0.3378	0.0577	0.0395	0.4988	0.0196	0.0482	0.004	0.0694	0.1935	0.1126
S21222	0.1138	0	0.1627	0.1551	0.0107	0.2992	0	0.0017	0.0016	0.1468	0.0571	0.1192
S21224	0.046	0	0.3531	0.0329	0.0171	0.3243	5.00E-04	0.0521	0	0.0651	0.0927	0.1153
S21234	0.0055	0	0.2466	0.0644	0.0558	0.3836	0	0	0	0.0567	0.0656	0.1531
S21242	0.0242	0.0474	0.2926	0.0412	0.015	0.6077	0	0.0181	0.0136	0.0776	0.0094	0.1822
S21247	0.0482	0	0.3296	0.0481	3.00E-04	0.4755	0	0.0421	0	0.0736	0.1096	0.128
S2125	0.0408	0	0.2868	0.043	0.0105	0.5231	0	0.0189	0	0.0674	0.1371	0.1575
S21252	0.0145	0	0.3275	0.0352	0.0116	0.5101	0	0.0181	0	0.088	0.0151	0.1647
S21253	0.0761	0	0.4146	0.1143	0.0496	0.6489	0	0.03	0	0	0	0.1527
S21254	0	0.0526	0.2037	0.0175	0.0882	0.5688	0.0067	0.0428	0	0.1056	0.0867	0.1368
S21265	0.0751	0	0.2486	0.0605	0.0258	0.5683	0	0.0291	0.0091	0.1297	0.082	0.156
S21273	0.087	0	0.3643	0.0353	0.0597	0.4552	0	0.0354	0.014	0.0647	0.1272	0.1365
S21275	0.0893	0	0.3203	0.0155	0.0805	0.2507	0	0.0355	0.0056	0.1144	0.0102	0.1583
S21276	0.078	0.0443	0.2372	0	0.0089	0.3442	0	0.019	0.01	0.1092	0.1171	0.1396
S21280	0.1338	0	0.2933	0.1169	0.0228	0.187	0	0.0181	0.0047	0.1444	0	0.1718
S21281	0.0019	0	0.2455	0.1272	0.0029	0.5784	0	0.0226	7.00E-04	0.0455	0.0575	0.1664
S21292	0.0748	0.0012	0.1654	0	0.0335	0.5452	0	0.0262	0	0.0916	0.0813	0.1643
S21296	0.0808	0	0.2917	0.036	0.0141	0.3867	0	0.0599	0.0038	0.113	0	0.1891
S21300	0	0	0.2785	0.0395	0.0552	0.5401	0	0.0532	0.006	0.0726	0.0399	0.1765
S21301	0.0076	0	0.2752	0.0788	0.0148	0.3577	0	0.0766	0.0203	0.1628	0.0944	0.1564
S21306	0	0	0.3623	0.0836	0	0.6095	0	0.0182	0.0072	0.0408	0	0.1798
S21316	0.1137	0	0.3084	0.1141	0.0174	0.4912	0	0.0046	0	0.0497	0.0143	0.1387
S21317	0.0779	0.0464	0.2744	0.064	0.0818	0.3353	0	0.0109	0.0115	0.0775	0.0939	0.1559
S21328	0	0.0021	0.0582	0	0.0676	0.5654	0	0	0	0.152	0	0.2049
S21332	0.0955	0.0292	0.1673	0.0217	0.0862	0.5665	0	0.0172	0	0.0768	0.0329	0.176
S21333	0	0.1138	0.0968	0	0.04	0.6503	0.0082	0	0	0.0563	0.0028	0.1778
S21335	0.0874	0	0.2995	0.0951	0.0687	0.4681	0	0.1002	0	0.0894	0.1382	0.0981
S21338	0.0806	0	0.3213	0.0313	0	0.5046	0	0.0176	0.0193	0.1073	0.0878	0.1777
S21340	0	0.0524	0.2359	0.0551	0.0563	0.6216	0	0	0.0075	0.073	0.1418	0.167
S21343	0.0647	0	0.3415	0.1122	0.02	0.3281	0	0.0403	0.0155	0.1045	0.047	0.1528
S21351	0.0123	0	0.2369	0	0.0265	0.6075	0	0.0036	0	0.0223	0.1456	0.1594
S21353	0.0361	0	0.329	0.0644	0.0706	0.5906	0	0.0346	0	0.0365	0.0567	0.137
S21361	0	0.0109	0.1924	0.0543	0.0979	0.4959	0	0.035	0.0206	0.1132	0.2031	0.1523
S21363	0.0576	0	0.3217	0.0637	0.0273	0.4837	0	0.037	0.0069	0.0698	0.0567	0.1518
S21368	0	0	0.3206	0.0532	0.0307	0.5625	0	0.0297	0.0089	0.0994	0.0236	0.163
S21372	0.0013	0.0163	0.3009	0.07	0.0652	0.3162	0	0.0197	0	0.1189	0.1604	0.1741
S21378	0.0036	0.0027	0.1921	0.0283	0.0896	0.6104	0	0.0043	0	0.037	0.0988	0.1409
S21391	0.0222	0	0.3274	0.0817	0.0467	0.4237	0	0.0456	0	0.0915	0.147	0.1325
S21396	0.1214	0	0.3418	0.1149	0	0.373	0	0.0579	6.00E-04	0.1505	0.0762	0.1619
S21400	0.0805	0	0.3948	0.0608	0	0.4173	0	0.0513	0	0.0969	0.043	0.1461
S21402	0.0345	0	0.375	0.064	0.0533	0.5572	0	0.0345	0.0122	0.0459	0.0627	0.1421
S21407	0.0981	0	0.2734	0.0654	0.056	0.4563	0	0.025	0.0168	0.0764	0.1557	0.1532
S21410	0	0	0.2475	0.0667	0	0.5801	0	0.0249	0.0028	0.0817	0.1473	0.1525
S21414	0.0287	0	0.2171	0.0264	0.0483	0.4098	0	0.0233	0.0202	0.1377	0.0757	0.1216
S21418	0	0	0.2492	0	0.0327	0.6799	0	0.0304	0.0187	0.0842	0	0.1752
S21420	0.1481	0	0.2933	0.0693	0.0314	0.2272	0	0.0161	0.0073	0.0996	0.0845	0.1598
S21426	0	0	0.2545	0.0901	0.0277	0.5988	0	0.0349	0	0.0548	0.0972	0.1291
S21427	0.0974	0.0169	0.3387	0.0768	0.0236	0.3337	0	0.0602	0.0104	0.1023	0.0723	0.1474
S21428	0.2202	0	0.3869	0.124	0.038	0.2399	0	0.0776	0.0045	0.0908	0	0.1662
S21431	0	0	0.2847	0	0.0044	0.5976	0	0.0346	0.0222	0.1069	0.0909	0.1596
S21437	0.041	0	0.3	0.0734	0.0058	0.5061	0	0.0587	0.0231	0.1081	0.0388	0.1263
S21438	0	0	0.3601	0.0554	0.0559	0.5949	0	0.0098	0.0075	0.0219	0.0632	0.1702
S21441	0.056	0.0617	0.3051	0.0842	0.0414	0.4007	0	0.0254	0.019	0.0749	0.0988	0.1696
S21442	0.1194	0	0.298	0.1007	0.0263	0.3402	0	0.0469	0.0047	0.1039	0	0.1583
S21444	0.023	0	0.2107	0.0094	0.0489	0.5339	0	0.0097	0.0176	0.1325	0.0555	0.1806
S21446	0.0939	0	0.2722	0	0.0361	0.3452	0	0.0151	0.0017	0.105	0.0934	0.1579
S21450	0.1329	0	0.2371	0.0427	0.0077	0.4452	0	0.0234	0	0.1102	0.0765	0.1563
S21453	0.0602	0	0.3521	0.1265	0.0104	0.4884	0	0.0356	0	0.0296	0.0909	0.1308
S21456	0.0145	0.0573	0.2876	0.0454	0.0525	0.4666	0	0	0	0.0435	0.056	0.1737
S21461	0.0834	0.1094	0.2143	0.0231	0.0822	0.3623	0	0.011	0.0062	0.1062	0.0644	0.1593
S21475	0.086	0	0.2891	0.0277	0.0502	0.6989	0	0	0.0061	0.038	0	0.1681
S21478	0	0.0445	0.189	0.0151	0.0085	0.5449	0	0.0451	0.0155	0.1125	0.0841	0.1549
S21480	0.0414	0	0.2881	0.024	0.0464	0.4595	0	0.062	0.0091	0.1156	0.0799	0.1356
S21486	0.1032	0	0.3028	0.0899	0.0101	0.387	0	0.0097	0	0.0778	0.1575	0.123
S21490	0.0962	0	0.403	0.0964	0.0343	0.2567	0	0.0242	0.0141	0.054	0.1216	0.1489
S21491	0.0593	0	0.2967	0.0762	0.0027	0.5465	0	0.1078	0.0033	0.079	0.0219	0.1305
S21498	0.0253	0.043	0.2724	0.0388	0.0321	0.5053	0	0.0538	0.0286	0.0998	0.1067	0.1644
S2150	0	0	0.3043	0	0.0678	0.3897	0.0353	0.0487	0.0138	0.1401	0.1009	0.1371
S21502	0	0	0.3008	0.0279	0.0181	0.5979	0	0.0177	0.004	0.0632	0.1085	0.152
S21505	0.0389	0.0241	0.2179	0.0555	0.0688	0.4925	0	0.0028	0.0174	0.1312	0.1111	0.1485
S21512	0.0735	0	0.2577	0.0103	0.0671	0.6862	0	0.0194	0.0074	0.026	0.0564	0.148
S21518	0.0311	0	0.3154	0.084	0.0289	0.4247	0	0.0703	0	0.0697	0.0561	0.1194
S21520	0.0417	0.003	0.2305	0.1065	0.0521	0.4414	0	0.0056	0.0205	0.1072	0.0497	0.1648
S21528	0.0543	0	0.2581	0.1153	0.0576	0.4113	0	0.0341	0.0231	0.1346	0.0858	0.1577
S21533	0.1265	0	0.3345	0.1025	0	0.3271	0	0.0619	0	0.1098	0.0583	0.1526
S21536	0	0	0.3002	0.0871	0.0157	0.6381	0	0.0254	0	0.0758	0.0351	0.1687
S21537	0.1141	0	0.3121	0.061	0	0.5253	0	0.0562	0.0191	0.0857	0.106	0.1505
S2154	0.0132	0	0.2354	0.0395	0.0237	0.3624	0	0.0562	0	0.1634	0.0473	0.1797
S21540	0.0134	0	0.2511	0.0159	0.037	0.4212	0	0.0261	0.0126	0.103	0.137	0.1464
S21543	0.0089	0	0.1973	0	0.0561	0.571	0.0632	0	0	0.1129	0.0993	0.1564
S2155	0.1164	0	0.3187	0.1216	0.0132	0.2177	0	0.049	0	0.0913	0.1525	0.1263
S21550	0.14	0	0.3146	0.0631	0.0198	0.3868	0	0.0041	0.0085	0.1185	0.0663	0.1596
S21557	0.014	0.0033	0.2097	0.0418	0.019	0.4668	0	0.0387	0.0267	0.1622	0.0585	0.1713
S2156	0.0729	0	0.2552	0.0484	0.0238	0.4924	0	0.0369	0.0223	0.1047	0.0361	0.1783
S21562	0.0048	0	0.3301	0.0606	0.0799	0.8287	0	0.0313	0	0	0.1056	0.1117
S21563	0.0569	0	0.4063	0.0999	0	0.2762	0	0.0502	0	0.07	0.1403	0.1095
S21567	0.009	0	0.3517	0.0615	0	0.4241	0	0.048	0.0122	0.1154	0.0233	0.1654
S21570	0.0587	0	0.2751	0.0723	0.0352	0.4573	0	0.0599	0.0045	0.1082	0.0575	0.1496
S21577	0.017	0	0.2706	0.0727	0.0605	0.8363	0	0	0.0018	0.0096	0.0974	0.1362
S21578	0.0334	0	0.2316	0.0665	0.0607	0.5914	0	0.0234	0	0.024	0.0552	0.1126
S21589	0.0877	0	0.3379	0.0978	0.0326	0.3993	0	0.0449	0.0025	0.0947	0.0333	0.1769
S21597	0.073	0	0.3748	0.0666	0.0124	0.3752	0	0.0353	0.0087	0.0878	0.0772	0.1362
S21602	0.0385	0	0.1561	0.0253	0.0223	0.3923	0	0.0669	0.008	0.1838	0.1002	0.1548
S21618	0.0879	0	0.3352	0.0853	0.0268	0.4324	0	0.0398	0.0017	0.0712	0.0314	0.1475
S21619	0.127	0	0.3008	0.0066	0.0094	0.3204	0	0.0533	0.0083	0.1342	0.0724	0.1453
S21626	0.136	0	0.361	0.1216	0	0.4272	0	0.0304	0	0.0196	3.00E-04	0.1577
S21628	0.1388	0	0.3585	0.0916	0.0608	0.2325	0	0.0183	0	0.0864	0.073	0.1702
S21629	0.0248	0	0.1682	0.0319	0.0559	0.6377	0	0	0.0146	0.0864	0.0536	0.1581
S21630	0.1313	0	0.303	0.0472	0	0.4506	0	0.0126	0	0.0876	0.1265	0.1235
S21631	0.0923	0	0.3191	0.0542	0.0085	0.3645	0	0.0276	0.0198	0.0819	0.0623	0.1698
S21637	0.0256	0	0.2718	0.0629	0.0538	0.6103	0	0.0027	0	0.0438	0	0.1592
S21641	0.0323	0.0337	0.2824	0.0582	0.0592	0.4583	0	0.0166	0.018	0.0956	0.1268	0.1365
S21642	0.1694	0	0.3622	0.116	0.0431	0.1595	0	0.0297	0.0093	0.1108	0.1358	0.1187
S21646	0.0558	0	0.2931	0.0563	0.0557	0.6317	0	0.0298	0.0046	0.0577	0	0.1459
S21647	0.0851	0	0.1416	0	0.0307	0.5141	0	0.0179	0.0148	0.1208	0.104	0.1588
S21651	0.273	0.0561	0.1871	0.071	0.0087	0.4876	0	3.00E-04	0.0387	0.059	0.1194	0.1792
S21652	0.0254	0.0321	0.2707	0.0772	0.034	0.5912	0	0.0266	0.0114	0.124	0.1511	0.1502
S21656	0.0326	0.0564	0.2088	0.04	0.0827	0.4189	0	0.0032	0	0.1053	0.0658	0.1661
S21657	0.0852	0	0.2697	0.0506	0.0433	0.589	0.0044	0.0251	0	0.0775	0.0647	0.1626
S2166	0.0608	0	0.4458	0.1663	0.043	0.4799	0	0.0922	0	0.0213	0.0988	0.1378
S21660	0	0.0894	0.2141	0	0.0524	0.5945	0	0.0418	0.0011	0.1057	0	0.1899
S21672	0.0712	0	0.3962	0.1142	0.0329	0.2596	0	0.0782	0	0.0654	0.2307	0.0893
S21674	0	0	0.26	0.0339	0.0652	0.4537	0	0.0391	0.0063	0.0998	0.0656	0.1863
S21683	0.0688	0	0.3847	0.085	0.0154	0.3833	0	0.0076	0.003	0.0588	0.0054	0.1847
S21693	0	0.0224	0.1233	0	0.023	0.6045	0	0.0577	0.0216	0.1529	0.0931	0.1856
S21695	0.1649	0	0.3951	0.0717	0.0185	0.338	0	0.0369	0.0038	0.0589	0.0458	0.1556
S21696	0.0641	0	0.3175	0.0843	0	0.5356	0	0.027	0.02	0.0561	0.0211	0.1586
S21697	0.0585	0	0.3201	0	0.058	0.6197	0	0.0454	9.00E-04	0.042	0.0025	0.1574
S21710	0	0	0.2267	0	0.03	0.6868	0	0.0182	0.0217	0.0876	0.1091	0.1812
S21715	0.0485	0	0.2741	0.0476	0.0357	0.4477	0	0	0.0105	0.0923	0.1585	0.1703
S21726	0.0394	0	0.3025	0.041	0.027	0.6792	0	0.0031	0.005	0.03	0.0749	0.1513
S21740	0.1526	0	0.348	0.0685	0.0089	0.2413	0	0.0446	0	0.1199	0.0901	0.1337
S21750	0.034	0.0712	0.3269	0.0347	0.0714	0.4031	0	0.0546	0.0183	0.0955	0.019	0.1624
S21753	0.0748	0	0.3488	0.0751	0.0187	0.4541	0	0.0437	0	0.0634	0.1525	0.1505
S21754	0.0411	0	0.223	0.0546	0.0341	0.5022	0	0.0258	0	0.0946	0.0333	0.1568
S21761	0.0626	0	0.3545	0.0938	0	0.4432	0	0.0325	0	0.0478	0.0011	0.1348
S21773	0.0513	0	0.2805	0.0687	0.0248	0.453	0	0.0352	0.0066	0.0691	0.0599	0.1457
S2178	0.0807	0	0.2274	0.0052	0	0.4731	0	0.0571	0	0.1216	0.0686	0.1653
S21780	0.165	0	0.2601	0.0942	0.0532	0.3545	0	0.0243	0.0178	0.0909	0.0146	0.1705
S21781	0.1718	0	0.4005	0.1128	0	0.3002	0	0.0559	0.0166	0.0787	0.0865	0.127
S21783	0	0	0.2431	0	0.0021	0.7265	0	0.0324	0.012	0.0742	0.0189	0.1885
S21791	0	0	0.2323	0.0069	0.0171	0.5833	0	0.0123	0.0238	0.1092	0.1814	0.1496
S21797	0.0631	0	0.2124	0	0.0494	0.4091	0	0.0361	0	0.1192	0.0063	0.1695
S2180	0.0238	0	0.2457	0.059	0.0262	0.4641	0	0.0015	0	0.0475	0.0394	0.1611
S21805	0.0872	0	0.3425	0.0952	0.0199	0.3841	0	0.0289	0	0.0822	0.0384	0.1734
S21811	0.0779	0.0235	0.3127	0.0651	0.0683	0.3126	0	0.0301	0.0252	0.1009	0.1708	0.1507
S21822	0.1577	0	0.3843	0.0957	0.037	0.2293	0	0.033	0.0211	0.1127	0.0471	0.1523
S21828	0.1238	0	0.3706	0.0385	0.0215	0.4181	0	0.0232	0.0118	0.0624	0.0484	0.1363
S21829	0.0235	0	0.136	0	0.0038	0.4098	0	0.0838	0.0039	0.1871	0.0663	0.1708
S21832	0.0185	0	0.2461	0.0317	0.0635	0.5864	0	0.0387	0	0.0537	0.0457	0.1425
S21834	0.0263	0	0.23	0.0403	0.0242	0.554	0	0.0167	0.0133	0.0966	0.0615	0.175
S21836	0	0.0189	0.2686	0.0942	0.0924	0.6127	0	0	0.0194	0.031	0.1426	0.149
S21838	0.0096	0	0.2529	0.0508	0.0352	0.418	0	0.0486	3.00E-04	0.1074	0.1006	0.1607
S21839	0.0328	0	0.2923	0.0562	0.0707	0.3183	0	0.0429	0.0077	0.1164	0.094	0.1673
S21845	0.0666	0	0.3211	0.061	0.0285	0.4637	0	0.0367	0.0077	0.0844	0.0321	0.1473
S21857	0.0962	0	0.3104	0.088	0.0289	0.3143	0	0.0565	0.0058	0.1302	0.0836	0.1251
S21859	0	0	0.3252	0.0526	0.0362	0.6319	0	0.056	0.0073	0.0416	0.1609	0.1247
S21863	0.0297	0	0.3617	0.0806	0.0238	0.3515	0	0.0361	0.0118	0.0893	0.0898	0.1668
S21867	0.0754	0	0.2011	0.0034	0.0257	0.199	0	0.0503	0.0152	0.1939	0.0945	0.1551
S2187	0.0195	0	0.2906	0.0548	0.0184	0.4086	0	0.0687	0.0024	0.1053	0.0542	0.1731
S21895	0.037	0	0.2797	0.0311	0.0401	0.5208	0	0	0.0139	0.0839	0.0717	0.1724
S21900	0.0598	0	0.3387	0.0865	0.0298	0.4334	0	0.0354	0.0055	0.0758	0.1527	0.1331
S21906	0.0753	0	0.3091	0.0272	0.0414	0.5334	0	0.0469	0.0081	0.0641	0.139	0.1536
S21913	0.1308	0	0.3385	0.0506	0.0303	0.3759	0	0.0204	0.0069	0.0816	0.0752	0.1556
S21917	0.163	0	0.2677	0.0248	0.0748	0.4033	0	0.0232	0	0.0572	0.0269	0.1529
S21919	0.0722	0	0.1966	0.0515	0.0245	0.4788	0	0.0322	0	0.1093	0.0896	0.1567
S2192	0.1113	0	0.3474	0.0982	0	0.243	0	0.0394	0.0073	0.147	0.1473	0.1484
S21936	0	0	0.2079	0.0214	0.0229	0.696	0	0.0104	0.0161	0.0769	0.1063	0.149
S21937	0	0	0.2593	0.037	0.0583	0.4775	0	0.038	0	0.0715	0.038	0.1692
S21942	0.0711	0	0.268	0.0322	0.019	0.4536	0	0.0195	0.0089	0.1328	0	0.1594
S21948	0	0	0.2887	0.0297	0.1148	0.4352	0.0459	0.0296	0	0.0485	0	0.1575
S21957	0.2362	0	0.2778	0.0614	0.0101	0.2877	0	0.0289	0.0135	0.1071	0.1333	0.1471
S21959	0.1095	0.0446	0.2605	0.0552	0.0643	0.3212	0.0022	0.0131	0.0047	0.082	0.2077	0.135
S21960	1.00E-04	0	0.21	0.0468	0.0513	0.6574	0	0	0	0.0037	0.0389	0.1687
S21961	0.0528	0	0.3343	0.0777	0.0517	0.5785	0	0.0616	0	0.0195	0.1109	0.1077
S21976	0.0604	0	0.3817	0.1454	0.0174	0.5962	0	0.0255	0.0061	0.006	0.1017	0.1401
S21979	0.1733	0	0.3572	0.0445	0.0421	0.3727	0	0.0526	0.0206	0.0614	0.1646	0.1334
S21980	0.1144	0	0.4381	0.1182	0.0656	0.4519	0	0.0215	0	0	0.0728	0.101
S21984	0	0	0.0951	0	0.1152	0.5231	0	0.005	0	0.1406	0	0.1769
S2199	0.0971	0	0.2531	0.0348	0.0301	0.4435	0	0.026	0.0107	0.1028	0.0745	0.1634
S21994	0.0283	0	0.3038	0.0888	0.0494	0.4127	0	0.0497	0	0.0755	0.0933	0.1623
S21999	0.0019	0	0.302	0.0756	0.0385	0.5432	0	0.0386	0.0058	0.0826	0.0823	0.1492
S22002	0.1064	0	0.4059	0.1095	0.0407	0.0714	0	0.0744	0.0014	0.146	0.14	0.1252
S22011	0.1138	0	0.2765	0.0671	0.0567	0.2504	0	0.0206	0	0.1028	0.0397	0.1569
S22023	0.0352	0.0106	0.0446	0	0.0429	0.7618	0	0	0.0039	0.1065	0	0.2049
S22025	0.0909	0	0.3927	0.137	0.0416	0.5008	0	0.0445	0.0018	0.0119	0.1161	0.1451
S22026	0.0739	0	0.3239	0.0704	0	0.4356	0	0.0422	0.0175	0.0784	0.0299	0.1522
S22032	0	0.0548	0.1189	0	0.0644	0.6266	0	0.0335	0	0.1159	0.0362	0.1821
S22034	0.0503	0	0.1994	0.054	0.0505	0.4772	0	0.0266	0	0.1321	0.0877	0.1698
S22038	0.0135	0	0.2137	0.0019	0.0597	0.4748	0	0.0278	0.002	0.081	0.0594	0.1612
S22041	0.0179	0	0.1861	0.0548	0.0181	0.378	0	0.043	0	0.1569	0.1168	0.185
S22046	0.0935	0	0.2899	0.0773	0.0397	0.3914	0	0.034	0	0.0874	0.1657	0.1411
S22048	0.025	0	0.2723	0.0521	0.0227	0.4972	0	0.0471	0.014	0.1287	0.0386	0.1409
S2207	0.0927	0	0.2467	0.0714	0.0173	0.4208	0	0.0562	0.0135	0.1473	0.0559	0.1581
S22070	0.0632	0	0.2722	0	0.0093	0.452	0	0.0288	0.0235	0.1034	0.0853	0.1807
S22075	0.1403	0	0.3382	0.1393	0.0308	0.1783	0	0.0353	0.0225	0.0817	0.157	0.138
S22077	0.0482	0	0.3233	0.0911	0.0557	0.4173	0	0.0304	0.0234	0.1265	0.1274	0.1641
S22078	0.0071	0	0.3193	0.0545	0.025	0.5181	0	0.0038	0	0.0738	0	0.1952
S2210	0.0322	0.0075	0.2669	0.0762	0.0322	0.6392	0	0.0092	0.0165	0.0788	0.0129	0.1544
S22100	0.0858	0.0393	0.0668	0	0.0051	0.6424	0	0.0374	0.021	0.1658	0.072	0.1722
S22106	0.0752	0	0.3272	0.0427	0.0313	0.5242	0	0.0087	0.0193	0.0529	0.0877	0.1423
S22109	0.0852	0	0.228	0.0175	0.0634	0.3174	0	0.0222	0.0092	0.1631	0.1112	0.1682
S22110	0.1347	0	0.3705	0.1257	0	0.3934	0	0.115	0.0143	0.0877	0.1052	0.1208
S22113	0.142	0	0.3744	0.0646	0.0494	0.3212	0	0.0328	0	0.1089	0.1796	0.1471
S22114	0.014	0.0226	0.2969	0.0786	0.0868	0.4829	0	0.0477	0.0149	0.0816	0.074	0.1327
S22117	0	0	0.2319	0.0703	0.0445	0.5268	0	0.0358	0.0103	0.089	0.1538	0.1523
S2212	0	0	0.2937	0.0543	0.0119	0.808	0	0.0144	0.0056	0.0115	0	0.1776
S22126	0.01	0	0.3552	0.0737	0.0181	0.4543	0	0.0549	0.0144	0.0949	0.0822	0.1407
S22129	0.0812	0	0.2526	0.0394	0.0682	0.3457	0	0.024	0.008	0.1436	0.0512	0.1611
S22131	0.1324	0	0.36	0.0478	0	0.481	0	0.0718	0	0.0723	0	0.1169
S22144	0	0.0744	0.1826	0.0701	0.0429	0.4007	0	0.0521	0.0025	0.1491	0.1389	0.1386
S22147	0.0145	0	0.2737	0.0343	0.0111	0.525	0	0.0274	0	0.1076	0	0.1707
S22148	0	0	0.1917	0.0275	0	0.7227	0	0.0441	0.0118	0.0682	0.0668	0.1534
S22150	0.0199	0.0559	0.2165	0.0638	0.0437	0.3783	0	0.0493	0.021	0.1147	0.241	0.1423
S22151	0	0	0.2109	0.0429	0.0451	0.5427	0	0.0219	0	0.0869	0.0681	0.1354
S22160	0.0459	0	0.2549	0.0442	0.011	0.542	0	0.0571	0	0.1036	0	0.1843
S22166	0.1086	0	0.3313	0.062	0.0122	0.5274	0	0.0252	0.0242	0.0712	0.1202	0.1306
S22173	0.0618	0	0.2291	0.0278	0	0.425	0	0.0399	0.0031	0.1451	0.018	0.1505
S22174	0	0	0.2198	0.0536	0.0369	0.5383	0	0.0147	0.0281	0.122	0.1109	0.1477
S22177	0.0774	0	0.269	0.0621	0.0455	0.3385	0	0.0474	0.0088	0.1174	0.0938	0.1415
S22178	0.0777	0	0.2862	0	0.0311	0.5814	0	0.0539	0.0156	0.0863	0.0851	0.1423
S22181	0.1179	0	0.3253	0.0896	0.0149	0.3314	0	0.0273	0.0053	0.064	0.0982	0.1385
S22185	0.1002	0	0.2025	0.0182	0	0.563	0	0.0429	0.0143	0.1493	0.0279	0.1785
S22189	0.037	0	0.2789	0.006	0.0153	0.563	0	0.0338	0.0093	0.0957	0.0751	0.1683
S22191	0.1064	0	0.3485	0.0267	0.0196	0.3504	0	0.0164	0.0087	0.0855	0.0592	0.1418
S222	0.0536	0	0.3278	0.0549	0.0164	0.3942	0	0.0346	0.0066	0.0936	0.0873	0.1584
S2220	0.127	0	0.295	0.0747	0.0151	0.4057	0	0.0067	0.0144	0.0994	0.0577	0.1623
S22226	0.0186	0	0.2368	0.0235	0.0573	0.5579	0	0.0376	0.012	0.0869	0.1399	0.1578
S22227	0.0245	0	0.3698	0.1179	0.0135	0.7109	0	0.0457	0.0034	0	0.0504	0.1224
S22231	0	0	0.2628	0.0145	0.0596	0.3799	0.0026	0.0133	0	0.1011	0.0914	0.1738
S22238	0.0437	0	0.3068	0.0479	0.0561	0.3605	0	0.0642	0.0145	0.1177	0.0182	0.1345
S2224	0.1684	0	0.2769	0.0253	0.0181	0.3929	0	0.0384	0.007	0.0938	0.0402	0.165
S22249	0	0	0.2337	0.0249	0.0176	0.4842	0	0.0555	0.0093	0.1244	0.0962	0.1691
S22257	0.0642	0	0.374	0.1049	0.0474	0.3918	0	0.024	0.0044	0.0525	0.0496	0.1643
S22259	0	0.0622	0.2083	0.0539	0.0544	0.5185	0	0.039	2.00E-04	0.1148	0.02	0.1685
S2226	0.1029	0	0.3588	0.104	0.0181	0.2931	0	0.0605	0.0129	0.1079	0.1148	0.1445
S22260	0.0582	0	0.3071	0.0473	0	0.4172	0	0.0328	0	0.0881	0.0659	0.1568
S22262	0	0	0.2108	0	0.072	0.6965	0	0.0245	0.0066	0.0599	0	0.1649
S22268	0	0.0441	0.2042	0.0026	0.0814	0.6804	0.0293	0.0309	0.0028	0.0533	0	0.1654
S22275	0	0.0031	0.2238	0	0.0834	0.4698	0	0	0.0055	0.1137	0.0779	0.1819
S22289	0.0591	0	0.3228	0.107	0.0331	0.5744	0	0.02	0.0065	0.0629	0.0517	0.1482
S2229	0.1193	0	0.3103	0.0724	0.03	0.4408	0	0.0167	0.0168	0.0911	0.0982	0.1702
S22295	0.1951	0	0.2403	0.034	0.0437	0.5041	0	0.0256	0.0175	0.0905	0.1042	0.1554
S22296	0.0847	0	0.2851	0.0362	0.0294	0.3729	0	0.0331	0	0.062	0	0.1819
S22301	0.1258	0	0.2975	0.0996	0.051	0.276	0	0.0226	0.0148	0.1348	0.0697	0.1744
S22320	0.007	0	0.3806	0.0983	0.0356	0.7839	0	0	0.0066	0	0.0748	0.1284
S22323	0	0	0.1982	0	0.0159	0.7293	0	0.043	0.0075	0.0999	0	0.1783
S22326	0.116	0	0.3238	0.0912	0.0145	0.5769	0	0.0228	0.0133	0.0839	0.0535	0.1672
S22327	0	0	0.2521	0.0771	0.0146	0.4628	0	0.0193	0	0.1038	0.017	0.1418
S22333	0.2188	0	0.415	0.1063	0.0234	0.2694	0	0.0389	0.0246	0.0353	0.0969	0.104
S22335	0.109	0	0.283	0.0128	0.0253	0.3084	0	0.0355	0.0106	0.1186	0.1077	0.1372
S22336	0	0	0.2766	0.0149	0.0834	0.6597	0	0.0247	0.0118	0.0664	0	0.1772
S22343	0	0	0.237	0	0.008	0.9096	0.0563	0.0608	0	0	0.1149	0.1089
S22352	0.1611	0	0.3915	0.1103	0.0561	0.3374	0	0.0429	0.0076	0.0644	0.0819	0.1588
S22371	0.135	0	0.3597	0.1017	0.0389	0.3079	0	0.0422	0	0.066	0.0759	0.1666
