ID,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,myeloid_dendritic_cell,plasma_cell,plasmacytoid_dendritic_cell
S12366,7.01229333333,6.18708,6.82360666667,7.03516764706,6.88172307692,5.3933,7.49924137931,6.64226666667,7.75765,5.43263333333,5.8318625,6.60534545455,5.30035384615,7.11606842105,6.676025,6.66699090909,5.64973333333,5.9173,6.56156315789,5.47642857143
S12374,7.04388666667,6.18064,6.98668666667,6.99695294118,7.16300769231,5.4353,7.45350344828,6.84513333333,7.9837,5.37743333333,5.86495,6.56901818182,5.22376153846,6.92244736842,6.46250833333,6.72164545455,5.87108,5.88114444444,6.60889473684,5.37364285714
S12385,7.01274,6.11476,7.07321333333,7.20894411765,6.83804615385,5.4299,7.45645517241,7.04575,8.306375,5.3067,5.93728125,6.67701818182,5.27099230769,6.98928947368,6.55445833333,6.87085454545,5.90637333333,6.09147777778,6.71528421053,5.44677714286
S1239,6.73592666667,6.26656,7.17455333333,7.12353235294,7.11136153846,4.951125,7.54973793103,6.84583333333,7.588775,5.69065833333,5.9878125,6.69751818182,5.3501,6.95228421053,6.64455833333,6.85102727273,6.14362,6.08283333333,6.54578421053,5.35746
S12391,6.83035333333,6.11068,6.92185333333,6.94764411765,7.20959230769,6.127375,7.3218,7.01736666667,8.042,5.33313333333,5.7895625,6.44553636364,5.35313846154,6.95115263158,6.61313333333,6.71040909091,5.79427333333,6.02185555556,6.49671578947,5.43273714286
S12394,6.89581333333,6.08472,6.79452,7.06541176471,6.623,5.2398,7.32766896552,6.71365,7.99765,5.31320833333,5.9027125,6.43168181818,5.37194615385,7.04768421053,6.37745833333,6.69791818182,5.66491333333,5.84681111111,6.50430526316,5.55450285714
S12406,6.90842666667,6.03894,7.11164666667,6.99556764706,7.18486153846,5.82915,7.50799655172,7.01811666667,7.819475,5.59081666667,5.76015,6.67871818182,5.39406923077,7.01127368421,6.62385,6.70179090909,6.03887333333,5.96946666667,6.49602631579,5.4677
S1241,6.66595333333,5.99402,7.00208,6.97854705882,6.78107692308,5.3151,7.42053448276,6.76053333333,7.26745,5.55929166667,6.18591875,6.49541818182,5.43986153846,6.85858947368,6.625275,6.58573636364,5.94544666667,5.88662222222,6.44132631579,5.53840571429
S12410,6.85275333333,6.14992,6.43217333333,7.03444117647,6.64221538462,5.197725,6.71337241379,6.40946666667,7.73335,5.43619166667,5.74798125,6.39669090909,5.26162307692,6.83712631579,6.08539166667,6.67866363636,5.76522666667,5.90245555556,6.46408421053,5.53783714286
S12417,6.77978,6.01208,6.87112666667,6.99847941176,6.88458461538,5.407075,7.43592758621,6.74646666667,7.70295,5.38295,6.0019125,6.46001818182,5.32923846154,7.01855789474,6.651875,6.5262,5.77726,5.98127777778,6.5034,5.44550285714
