Mixture	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	P-value	Correlation	RMSE
Mix_35	0.0896362644715041	0.204372662221135	0.367186250650679	0.0286646471989683	0	0.0133988005125095	0.200178567341442	0	0.0965628076037622	9999	0.997164533562892	0.112958342702693
Mix_36	0.116086794609424	0.25342095135956	0.307350303381343	0	0	0.0193862525035725	0.167027299526363	0.0449933456441651	0.091735052975572	9999	0.997186107706949	0.120879093723552
Mix_37	0.137497638827619	0.139725986868086	0.184183919010984	0	0	0.0688053092490525	0.231096934653857	0.115866381845928	0.122823829544474	9999	0.996287277235858	0.112558289604055
Mix_38	0.195127134074051	0.116185938588947	0.297402640367606	0	0	0.0862980002791456	0.161135765389002	0	0.143850521301249	9999	0.996584606933664	0.159243248625376
Mix_39	0.238716259055214	0.263802911193581	0.372356211716215	0	0	0.021784070838315	0.0367415213338259	0.00474938374794186	0.0618496421149079	9999	0.992734324421822	0.209023992248831
Mix_40	0.0974392424078899	0.228415307767209	0.166781844629581	0	0	0.0600205141088974	0.247367676779461	0.0704396447947056	0.129535769512257	9999	0.995722812618483	0.114172698378904
Mix_41	0.121175696969519	0.194267371903121	0.266957197126543	0.00140856379603958	0	0.0379917161303237	0.23441595727684	0	0.143783496797613	9999	0.995341142644908	0.135252844542661
Mix_42	0.0963399803647383	0.217595500535416	0.386434815235751	0	0	0.0660322165983218	0.0811131694956453	0.117594915002142	0.0348894027679866	9999	0.99691370003621	0.110458979698741
Mix_43	0.182245100017422	0.260998708844827	0.205380614873489	0	0	0.0454214223530735	0.163738827850646	0.0312831833008401	0.110932142759703	9999	0.996216543320799	0.156176807180376
Mix_44	0.165095696053934	0.116722294813335	0.239767025974674	0	0	0.119560364894198	0.175432676394992	0	0.183421941868867	9999	0.9940657025883	0.158000437485393
Mix_45	0.177309406884303	0.144053152958586	0.221329294476287	0	0	0.0418703444584776	0.136767266759773	0.189452221020335	0.0892183134422372	9999	0.997139402205953	0.109836751422381
Mix_46	0.147735605542807	0.247227834026911	0.333365798427716	0	0	0.0266101313294868	0.053971770212937	0.15938817220434	0.0317006882558022	9999	0.995577278594332	0.129422925746485
Mix_47	0.236020217863001	0.214200526421939	0.191547750611102	0	0	0.0673817940250112	0.150015594797432	0.0301175675954042	0.110716548686111	9999	0.996140409488945	0.17937338745923
Mix_48	0.119631032826102	0.258277554851298	0.346848614633479	0.0310566184302902	0	0.00901531883813641	0.161776587991419	0	0.073394272429276	9999	0.997514991851265	0.128226021160728
Mix_49	0.0528205127582096	0.140314413889476	0.234415745860095	0.0450105925258341	0	0.0716315156586782	0.311454706520552	0	0.144352512787156	9999	0.996661474384702	0.0949342687037983
Mix_50	0.156357220372057	0.1174917585862	0.330831455291924	0	0	0.0754984959505992	0.079254245822696	0.166262069247074	0.0743047547294494	9999	0.996998635516496	0.112603329087475
Mix_51	0.131492504479637	0.233295516747179	0.353018318112911	0.0397638963395185	0	0.0474320052510044	0.122176259743047	0	0.0728214993267033	9999	0.997307780714985	0.136064661967987
Mix_52	0.13240350361208	0.08453336271424	0.195435679034854	0	0	0.101944615486095	0.193819056784317	0.159724916087058	0.132138866281357	9999	0.997699043613265	0.0897569136376988
Mix_53	0.214997601317249	0.213187644068984	0.277665429417175	0	0	0.0396142732767337	0.0925059096573549	0.0878513540256619	0.0741777882368412	9999	0.996602389753365	0.158587494908899
Mix_54	0.197673315056849	0.127548569752121	0.17439375973019	0	0	0.0729008361264702	0.248137128154988	0	0.179346391179381	9999	0.989681223085208	0.186443299901338
Mix_55	0.130427849696651	0.105679584553091	0.176490595538245	0	0	0.0659045524422519	0.290947522940514	0.0725567352371344	0.157993159592113	9999	0.996122029560564	0.11208191066404
Mix_56	0.188681280768077	0.125133222510414	0.260748940485526	0	0	0.0768136984503216	0.0931845924194652	0.173636378712385	0.0818018866538114	9999	0.997265384157188	0.120325876561302
Mix_57	0.118368995283868	0.0555140912077042	0.257240485723662	0.00544880221932529	0	0.0908790105101573	0.290558695582315	0	0.181989919472968	9999	0.992567373271441	0.143671210776438
Mix_58	0.109999428992278	0.158474092299657	0.360460389209552	0.022567033938904	0	0.0947206998678416	0.142449833467835	4.31455059170461e-05	0.111285376718016	9999	0.997558294155865	0.121946508640557
Mix_59	0.112791903156083	0.126317842666305	0.173165987892815	0	0	0.0375887138787771	0.329256446013663	0.0609127027930599	0.159966403599298	9999	0.994464558536285	0.119716657112879
Mix_60	0.0353170630218206	0.294637499696811	0.245066895576649	0	0	0.0937855295166456	0.0796316086920799	0.195726971662676	0.0558344318333186	9999	0.994893276532388	0.10382815923938
Mix_61	0.142156468648799	0.289836309558183	0.208890547869926	0	0	0.0672645804681503	0.159149494146932	0	0.13270259930801	9999	0.995677894481248	0.150751357120567
Mix_62	0.0326970354909866	0.342728396693613	0.230947987889668	0.0232995733031242	0	0.0166565302291522	0.246632271057511	0	0.107038205335945	9999	0.994669552562576	0.117242839201153
Mix_63	0.200290200739207	0.102510412942983	0.181724947278404	0	0	0.0688043500406711	0.259560573910638	0	0.187109515088097	9999	0.992762232742537	0.169620801342822
Mix_64	0.260087455834356	0.217215567863377	0.205043638097094	0	0	0.0405245152057426	0.108409773185748	0.0642141344509961	0.104504915362687	9999	0.995650510431077	0.183237721829523
Mix_65	0.214136378359865	0.213919882613529	0.277685047258646	0	0	0.0243615002672993	0.103169762465189	0.0804777756258963	0.0862496534095749	9999	0.996388859310076	0.158155989200865
Mix_66	0.0668460027662588	0.255648801145254	0.349400748856728	0.0221248787739274	0	0.00745201230410483	0.191550546439211	0.0228441030570492	0.0841329066574677	9999	0.997049502679333	0.105086231655079
Mix_67	0.177198317429712	0.305715990143262	0.277099764099679	0	0	0.0407325925289097	0.0963999708764423	0	0.102853364921995	9999	0.991848815064903	0.187658015760817
Mix_68	0.173938395218317	0.160970280855638	0.307502019805503	0	0	0.0635637053599136	0.0761625295283201	0.150629431777818	0.067233637454491	9999	0.997189392653061	0.123530150483682
Mix_69	0.106461890666849	0.342283368076877	0.253346967471604	0	0	0.0132409927843367	0.15767468389206	0.0557097216949545	0.071282375413318	9999	0.995831970070543	0.129855257851922
Mix_70	0.134099408731113	0.144509637294526	0.361028579882995	0	0	0.0665425448067823	0.0917576353270548	0.11287040592409	0.0891917880334392	9999	0.997002670791291	0.114507680126714
Mix_71	0.121067821786617	0.192251047790996	0.159859364539318	0	0	0.066205074333711	0.219148001140555	0.104104236940775	0.137364453468027	9999	0.996263162542419	0.110292825980404
Mix_72	0.243022746037212	0.171795868551318	0.440093492868034	0	0	0.0315239491379371	0.0403951634607661	0.0724153635378979	0.000753416406835257	9999	0.995340850606143	0.18851018782323
Mix_73	0.111214479931993	0.10326388133147	0.198548592372864	0.0178905703750467	0	0.0450138784599741	0.323791562429849	0.0587240862742647	0.141552948824537	9999	0.996112015012987	0.105886464059313
Mix_74	0.172273736890667	0.282201377494952	0.230549277295177	0	0	0.0302689900502742	0.17234131891709	0	0.11236529935184	9999	0.994931893839127	0.16591321235404
Mix_75	0.0708979612575516	0.185784507293223	0.262320414600232	0.020573889334541	0	0.0444081953303464	0.277029348904985	0	0.13898568327912	9999	0.996107060833067	0.10953810224425
Mix_76	0.0648779365352029	0.182072762127009	0.225077587543446	0.0177639386337049	0	0.0536814308665684	0.291733074807653	0.0235511162772693	0.141242153209147	9999	0.995994480337503	0.104624867328909
Mix_77	0.197258608064712	0.155261701144294	0.290241099823083	0	0	0.0649292483271687	0.140373677583463	0	0.15193566505728	9999	0.993682479175185	0.174915184650294
Mix_78	0.0422061225872007	0.0961148488338769	0.308352863716172	0.012568967438633	0	0.0837246442494975	0.240309126440539	0.0971585894095991	0.119564837324482	9999	0.997278847896023	0.079188032726643
