ID,Monocytes_CD14+CD16-,Monocytes_CD16+CD14-,NK_cells,Neutrophils,T_cells_(CD4+),B_cells,T_cells_(CD8+)
S1154,6.261812,5.97254,6.406544,6.626076,6.44845,5.016022,5.75558
S11542,6.198934,6.11358,6.22066,6.68593,6.347552,5.105502,5.344962
S11543,6.21648,6.013934,6.376298,6.770958,6.416214,4.915864,5.55705
S11546,6.23647,6.074536,6.403578,6.789366,6.510942,4.938032,5.486032
S1155,6.32462,6.229032,6.39043,6.741778,6.431972,5.06896,5.427956
S1156,6.040856,5.929992,6.262054,6.43621,6.37957,5.07246,5.714638
S11568,6.20112,6.06646,6.297348,6.78045,6.39475,4.961742,5.495462
S11576,6.235492,5.933646,6.500576,6.687812,6.65006,4.936198,5.687054
S11584,6.221834,5.966246,6.340592,6.83027,6.418088,4.942384,5.489932
S11586,6.315724,6.148808,6.460894,6.790228,6.622456,4.974122,5.529624
S11590,6.264314,6.00747,6.458124,6.807176,6.596526,4.86597,5.567542
S11592,6.173172,6.047828,6.299798,6.542448,6.36446,5.06879,5.468168
S11593,6.22689,6.075736,6.43051,6.80462,6.567014,5.004806,5.536204
S11599,6.302792,6.161912,6.334152,6.746344,6.390516,5.184926,5.47758
S1160,6.120742,6.006706,6.278158,6.621628,6.393914,5.000296,5.503238
S11610,6.206612,6.082432,6.134012,6.669758,6.268372,5.100056,5.378074
S11615,6.11018,5.999132,6.355096,6.720886,6.429236,4.904224,5.48429
S11629,6.388602,5.97649,6.493244,6.681314,6.540958,4.977188,5.88033
S11631,6.310238,5.907774,6.419718,6.680818,6.592868,4.934876,5.687156
S1164,6.235544,6.0195,6.46645,6.780196,6.4806,4.918066,5.664396
S11642,6.244142,6.150838,6.282918,6.60679,6.217058,5.139452,5.34505
S11656,6.238586,6.161982,6.265174,6.63891,6.437806,5.190326,5.45397
S11663,6.237796,6.168404,6.463326,6.807046,6.631992,5.021604,5.568464
S11667,6.263932,6.17114,6.487654,6.83375,6.639584,4.98617,5.499908
S11668,6.1104,5.981074,6.313556,6.703932,6.400834,5.009148,5.44383
