B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage
S11844	0.1994	0.3848	0.1662	0.0474	0.0064	0.1958
S11850	0.1646	0.4061	0.2077	0.0418	0.0126	0.1672
S11853	0.229	0.3899	0.1516	0.0628	0.0068	0.16
S11857	0.1543	0.4049	0.1415	0.0648	0.0112	0.2233
S11858	0.2159	0.3658	0.1102	0.0659	0.0095	0.2326
S11860	0.2214	0.38	0.1673	0.0502	0.006	0.1751
S11864	0.2697	0.2291	0.2366	0.0508	0.0062	0.2076
S11870	0.189	0.3346	0.2137	0.0585	0.0047	0.1994
S11875	0.2024	0.3773	0.1691	0.0532	0.011	0.1871
S11877	0.1843	0.3905	0.1076	0.0733	0.0314	0.213
S11878	0.232	0.2657	0.3139	0.0425	0.0059	0.14
S11882	0.1797	0.3542	0.2024	0.0715	0.0105	0.1817
S11883	0.186	0.3381	0.1125	0.0766	0.0175	0.2692
S11884	0.2045	0.2987	0.1584	0.0493	0.002	0.2871
S11886	0.2281	0.4108	0.0644	0.0713	0.0089	0.2165
S11897	0.3168	0.2976	0.1211	0.0617	0.0085	0.1943
S1190	0.214	0.2987	0.2222	0.0679	0	0.1972
S11903	0.1824	0.2517	0.2895	0.0568	0.0054	0.2141
S11905	0.216	0.3004	0.1332	0.061	0.0142	0.2753
S11907	0.2019	0.3429	0.1943	0.0611	0.0121	0.1878
S11914	0.2164	0.3207	0.1318	0.0734	0.028	0.2297
S11917	0.2201	0.3505	0.199	0.0582	0.0078	0.1644
S11928	0.1652	0.3934	0.1867	0.0645	0.0108	0.1795
