ID,Bcells,Monocytes,NKcells,Neutrophils,CD4_Tcells,CD8_Tcells
S11542,7.915242,8.67036,8.632114,9.912138,8.307144,7.671574
S11543,8.043536,8.870684,8.667708,10.12725,8.528376,7.827288
S11546,8.19081,9.008346,8.709036,10.277046,8.607486,7.949852
S1155,8.19275,9.010824,8.788004,10.276868,8.348356,7.798214
S1156,7.655684,8.231466,8.394366,9.522624,8.49148,7.802512
S11568,7.860462,8.691824,8.617618,10.076174,8.297562,7.69991
S11576,8.227968,8.880724,8.71278,9.97368,8.759984,8.086052
S11584,7.991642,8.865264,8.622286,10.18692,8.304258,7.757846
S11586,8.499778,9.084988,8.975724,10.398308,8.696424,8.074654
S11590,8.27504,9.023456,8.814442,10.21631,8.620302,8.00972
S11592,8.035678,8.512148,8.59651,9.800302,8.490078,7.718376
S11593,8.333078,8.944006,8.823562,10.219906,8.65903,7.978946
S11599,8.147468,8.833436,8.618824,10.04538,8.338086,7.714428
S1160,7.984144,8.515324,8.480568,9.757928,8.423148,7.702724
S11610,7.93264,8.665198,8.495424,10.13726,8.336588,7.576776
S11615,8.047208,8.827672,8.698606,10.013664,8.548796,7.79157
S11629,8.298772,9.128584,8.827386,10.335458,9.167308,8.134914
S11631,8.168384,8.945968,8.692846,9.818062,8.643932,7.971094
S1164,8.105696,8.909676,8.79308,10.169528,8.557186,7.86421
S11642,7.823398,8.443198,8.503674,9.759226,7.931346,7.380622
S11656,8.006604,8.69236,8.614918,9.859386,8.380884,7.726262
S11663,8.425918,9.02649,8.896448,10.188558,8.680622,7.99612
S11667,8.572676,9.135532,8.995842,10.289204,8.752778,8.097232
S11668,8.140356,8.70315,8.550598,9.97329,8.422666,7.74541
S1167,7.970364,8.739608,8.72342,9.947134,8.400596,7.695776
S11673,7.947008,8.566494,8.636212,9.754736,8.151614,7.4966
S11682,8.33119,9.043888,8.774442,10.271576,8.530872,7.950134
S11693,8.071836,8.725142,8.656702,9.927642,8.554972,7.822498
S11696,8.07483,8.830592,8.610658,10.092616,8.464118,7.870252
S11699,8.419598,9.01749,8.910788,10.116392,8.579904,8.002004
S117,7.621854,8.193726,8.04681,9.376258,7.960888,7.136464
S1170,8.05373,8.73045,8.680304,9.91755,8.546316,7.957312
S11709,8.013588,8.675756,8.572018,9.916334,8.367374,7.751824
S11713,8.090034,8.564766,8.621706,9.48008,8.538,7.889974
S11717,8.099314,8.756632,8.688236,9.920754,8.77358,7.869238
S1173,8.003262,8.755796,8.755008,10.099406,8.244602,7.714144
S11731,8.10455,9.045268,8.695898,10.477144,8.238064,7.709832
S11732,7.94637,8.712184,8.542958,10.011306,8.496098,7.795148
S11733,8.455754,9.023374,8.940126,10.045416,8.836078,8.00967
S11734,7.818906,8.670606,8.595276,9.980848,8.375168,7.758574
S11735,8.335428,8.996656,8.873868,10.19684,8.451452,7.830048
S11737,8.032156,8.614002,8.631114,9.780388,8.159018,7.499444
S11745,8.140354,8.888392,8.744644,10.14268,8.57535,7.762482
S11760,7.861288,8.47118,8.39354,9.840366,8.133276,7.417768
S11761,8.49837,8.33591,8.584554,9.376638,8.567634,7.800556
S11769,7.81132,8.771646,8.454504,10.110268,8.26642,7.53228
S11783,8.347346,8.746782,8.720032,10.006836,8.682188,7.992956
S11784,8.162338,8.731508,8.585904,9.994062,8.220284,7.741086
S11786,8.15605,8.97194,8.815984,10.257874,8.593612,7.95992
S11797,8.01828,8.847486,8.724248,10.048816,8.514634,7.782182
S11799,7.994692,8.72504,8.720666,9.940672,8.385972,7.824816
S118,8.191212,8.767326,8.726886,10.103066,8.466756,7.87107
S11800,8.285644,8.910414,8.734732,10.078352,8.767454,8.065294
S11802,8.053236,8.788288,8.614302,10.064746,8.486514,7.771386
S11806,7.806204,8.590472,8.453144,9.993546,8.302456,7.547006
S11807,8.803518,8.801006,8.748228,9.815564,8.516796,7.717592
S11810,7.945832,8.55533,8.623806,9.74689,8.310818,7.790662
S11811,8.205158,8.970242,8.703372,10.303006,8.686666,7.917392
