Mixture	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	Plasma cells	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	Dendritic cells resting	Dendritic cells activated	Eosinophils	P-value	Correlation	RMSE
mix_73	0.278806746071864	0	0.236520459439485	0.0827584119276408	0.0230376447591515	0	0	0.0810378020992911	0.0132265519712154	0.17558818820501	0	0	0.00515216431601187	0.00374252087555561	0	0.0424657559451562	0.0228689258701107	0	0.0080778381515426	0	0.0267169903679648	0	9999	0.717321801746455	0.719976387552712
mix_74	0.22216407432489	0	0.334351075587149	0	0.0270214697928001	0	0.0635114470487915	0.089351397870077	0	0.161062538533003	0	0	0.00913530729556299	0	0.00296124644479065	0.031846924664337	0.0128662149654239	0	0.0296956500076992	0	0.0160326534654765	0	9999	0.748035289295534	0.70057685965446
mix_75	0.207482022125691	0	0.521464656051449	0.0198763572132252	0.0085946458082508	0	0	0.114209559467342	0	0.0577576702132463	0	0	0.00713890355639307	0	0.00054502406771767	0.0263813926536943	0.00595182179489967	0	0.013254723282591	0	0.0173432237654993	0	9999	0.747433375224445	0.689213518639293
mix_76	0.029902502574664	0.0424548754633879	0.241728740754856	0	0.0522993350385861	0	0.0768481554894984	0.0475148604061667	0.00849634589227456	0.406669138028817	0	0	0	0.0249611404419059	0	0.0211646835461289	0	0.016607523351047	0	0	0.0313526990126677	0	9999	0.712240166888619	0.718586539316894
mix_77	0.110822821260012	0	0.0817498136588344	0	0.0438214087389887	0	0.193121820008537	0.16691339768042	0.00687705206535991	0.337080681579348	0.00100817505971632	0	0	0.00481357107630448	0	0.0169237445359365	0.00507668317866244	0.0216275856015498	0	0	0.0101632455563301	0	9999	0.754935642621311	0.664651692603183
mix_78	0.153492047865528	0	0.477748036702752	0	0.0314484313375529	0	0.00428847191751501	0.0356846672470179	0.0125361926475711	0.210466971212302	0	0	0.0183885891613187	0.000166657827508571	0	0.0244623492180658	0.0101298829972764	0	0	0	0.0211877018655918	0	9999	0.741991650311226	0.701238614870867
mix_79	0.0538436130283253	0	0.569063769286182	0	0.0201854939007693	0	0.108175381099577	0.0513615755853844	0	0.151560558027567	0	0	0	0	0.00163693061151995	0.0127172852795747	0	0.0115834743964854	0.00733801401488906	0	0.0125339047697263	0	9999	0.750993043052636	0.682840653985276
mix_80	0.23034695103718	0	0.287453007334424	0	0	0	0.0988236893790659	0.0923632358796944	0.00523571544124528	0.212495019506927	0	0	0.00398931369672709	0	0	0.0410449385357301	0	0.0162747164806699	0	0	0.0119734127083363	0	9999	0.754563367807837	0.691455489937048
mix_81	0.139116877131581	0	0.271206231824793	0	0	0	0.171601611436566	0.138141681688589	0.00314659975640426	0.226744781739359	0	0	0	0	0.00380499896032361	0.0211571805784861	0	0.0159581828559552	0	0	0.00912185402794329	0	9999	0.747466553243316	0.693271896489684
mix_82	0.18257766155326	0	0.416523181549679	0	0.0301314669117452	0	0.0407123089984561	0.0725089223464075	0	0.190333741512649	0	0	0.00506818749494942	0	0.00100039841588258	0.0371175521008267	0.0138030429686844	0	0.000203151328885639	0	0.010020384818574	0	9999	0.750266312097779	0.696966602491905
