Gene,B_cells,Blood_CD34._cells,Dendritic_cells,Eosinophils,Fibroblasts,Keratinocytes,Lymphatic_endothelial_cells,Macrophages,Monocytes,NK_cells,Neutrophils,Plasma_cells_CD138.,Platelets,Reticulocytes,Subcutaneous_Adipose,T_cells_CD3.,T_cells_CD4.,T_cells_CD8.,T_cells_Gamma_Delta,T_cells_Regulatory,Vascular_Endothelial_Cells
mix_80,258.3238,436.1861,846.987,520.7256,435.8018,106.7598,412.9969,231.2168,733.3531,338.9375,476.0211,131.3433,177.2957,42.4108,159.2356,421.7174,614.0966,688.8668,1239.4971,241.8789,325.2196
mix_81,214.3661,465.2088,567.0401,526.0351,445.9722,110.1917,421.8848,223.6322,709.1525,350.8506,474.4334,128.2389,182.1766,44.121,156.938,496.0027,701.5061,725.6435,1250.7414,256.673,318.5465
mix_82,226.3878,402.9899,890.0985,522.8608,451.5195,103.7198,412.8629,252.797,935.811,299.6793,537.88,133.5713,201.5089,39.8664,161.8852,333.1348,467.93,605.7886,1514.3013,206.6707,338.2994
mix_83,207.0715,357.2587,1000.7908,529.5712,450.7392,100.7988,401.7514,276.3102,1102.396,291.6774,605.6998,136.0984,220.2433,39.6354,170.8185,269.5812,396.6404,501.9921,1561.4562,178.6914,344.5919
mix_84,225.4275,433.2301,712.1659,523.7759,439.7527,105.8865,417.8122,230.8381,783.7652,333.782,499.4825,131.9826,185.5281,41.8785,159.6953,435.5879,605.3209,680.248,1278.2096,239.7577,324.0141
mix_85,214.766,443.6849,583.9724,522.6674,450.7419,107.6646,419.3109,228.9548,767.1633,339.5749,491.1077,132.8103,183.1453,42.2991,158.9885,464.5809,624.6391,717.2468,1260.4662,246.3813,324.942
mix_86,204.1186,466.1701,436.4537,540.214,463.6375,110.8552,415.3155,205.8029,607.106,419.4513,424.2263,128.3926,164.0978,45.0565,154.5306,540.9059,743.4748,808.7931,1293.7738,280.3392,309.1131
mix_87,197.6044,427.1497,606.0137,524.9326,456.4859,105.0543,422.4606,245.2312,884.9708,309.1615,528.716,134.4114,196.004,41.8502,161.5236,430.724,587.2858,643.312,1340.9078,227.175,333.5667
mix_88,229.1865,432.2307,670.7779,530.5532,455.3397,106.9602,410.0153,217.2761,692.0491,381.587,459.9293,129.7211,172.4445,42.2782,155.0714,448.2332,621.8996,728.9568,1325.5593,254.044,318.8333
mix_89,232.4885,479.8424,549.9779,526.5979,464.4959,112.3798,419.1965,202.5393,543.525,418.5953,406.8576,129.5158,158.2046,44.7512,152.0355,543.0405,738.3526,838.3091,1192.7865,287.3986,302.3396
mix_90,190.8285,418.0996,600.8278,513.3741,462.7056,102.1756,417.095,249.8171,927.8186,302.7715,552.7241,133.4711,202.154,41.7941,161.1939,404.3806,532.2701,635.9632,1356.5886,218.6873,327.2621
mix_91,201.4894,356.4008,980.8411,532.1268,461.7685,100.4224,403.3826,270.1892,1092.214,305.221,598.1276,136.4741,213.0519,39.4134,167.2755,266.3681,384.8247,523.7641,1657.3048,183.25,339.7583
mix_92,208.2623,414.0739,754.5472,517.9098,456.868,103.5174,416.1313,249.2147,920.2477,310.9722,543.0991,133.4799,203.6489,40.8679,163.4794,384.34,546.2315,595.9056,1354.1175,214.9937,331.4431
mix_93,152.7392,339.5283,893.3178,528.2193,480.6637,98.2282,414.7205,309.6341,1328.0743,232.5513,693.9767,147.5594,248.458,41.6765,178.1174,221.7124,280.3813,423.2758,1881.1428,151.3188,368.7718
mix_94,155.7881,358.1101,701.2479,531.4578,481.2187,99.5756,410.8185,278.2163,1154.9961,290.4191,611.4858,136.5684,224.228,40.6776,170.7756,273.4242,326.0512,549.6342,1710.3305,178.4793,344.9652
mix_95,225.9929,348.6753,1147.2323,532.0932,447.9166,100.6488,397.6413,269.7867,1056.1634,314.3582,578.8409,136.2911,212.7197,39.4701,167.4459,234.9183,364.397,500.501,1684.6245,179.3936,339.1446
mix_96,216.1484,353.2009,1009.4882,541.2801,464.6576,100.0226,391.4413,257.6242,1012.514,336.974,563.398,132.0455,205.6097,39.9539,166.0836,251.7356,369.0048,555.0773,1697.5357,192.3939,332.9726
mix_97,198.976,401.1086,754.2435,523.9364,460.469,102.0247,414.1957,259.0201,1004.969,298.3238,572.1754,135.0749,206.5802,41.1626,164.2105,342.2728,459.1514,588.9663,1511.3185,200.6442,335.6583
mix_98,216.3682,404.3905,854.7313,520.0054,447.569,101.0193,413.4447,256.491,970.3321,302.0159,557.6294,136.9963,205.6494,41.4093,166.6664,342.8367,508.9643,557.8855,1513.9271,205.2491,332.1022
mix_99,230.004,533.3756,412.7231,544.0086,462.4435,119.0784,427.2785,187.4573,417.9334,438.5927,365.0475,124.4898,148.6371,48.6361,151.6225,671.4908,874.2955,906.2442,1077.8767,319.0571,294.7502
mix_100,212.7643,416.0414,746.9277,525.6951,451.3411,104.1106,417.8096,244.0323,876.5831,322.804,525.5904,130.9447,194.6073,41.4967,163.7392,394.604,564.6672,615.6325,1389.2493,223.0254,330.1051
