B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..
S1164	0.0552	0.2556	0.0104	0.0825	0.3996	0.131	0.0656
S11642	0.0331	0.1665	0.124	0.1365	0.3956	0.1324	0.012
S11656	0.0644	0.1828	0.0707	0.114	0.2615	0.2793	0.0274
S11663	0.0597	0.147	0.0313	0.0539	0.3725	0.2492	0.0864
S11667	0.0727	0.2264	0.0147	0.0837	0.3381	0.1819	0.0825
S11668	0.0886	0.1947	5e-04	0.0728	0.387	0.1915	0.065
S1167	0.0603	0.1818	0.0614	0.1418	0.319	0.1671	0.0686
S11673	0.0544	0.1741	0.1034	0.1087	0.2902	0.203	0.066
S11682	0.1068	0.1875	0.0152	0.089	0.4181	0.1319	0.0515
S11693	0.0831	0.2133	0.0178	0.0807	0.3085	0.2514	0.0452
S11696	0.0573	0.2371	0	0.0618	0.3501	0.2765	0.0173
S11699	0.0752	0.2472	0	0.0889	0.3358	0.1904	0.0626
S117	0.0964	0.1689	0.0962	0.1037	0.316	0.2027	0.016
S1170	0.0958	0.1766	0.0116	0.0773	0.3432	0.2164	0.079
S11709	0.0359	0.2136	0.0398	0.1258	0.4012	0.1315	0.0522
S11713	0.1404	0.2378	0.0234	0.0934	0.1011	0.2137	0.1902
S11717	0.0752	0.1841	0.0047	0.0787	0.3271	0.2222	0.1079
S1173	0.0562	0.2013	0.0386	0.1032	0.433	0.1018	0.0658
S11731	0.0437	0.2818	0.031	0.067	0.4734	0.0793	0.0238
S11732	0.0624	0.1961	0	0.0488	0.425	0.1605	0.1072
S11733	0.0419	0.248	0.0128	0.1066	0.2669	0.2149	0.109
S11734	0.0458	0.2465	0.0031	0.1267	0.3884	0.1359	0.0536
S11735	0.0764	0.1925	0.0349	0.112	0.399	0.1089	0.0762
S11737	0.0827	0.1263	0.1153	0.1357	0.3002	0.1781	0.0617
S11745	0.0673	0.2259	0.0389	0.0783	0.3859	0.2036	0
S11760	0.0752	0.1374	0.0852	0.0682	0.4195	0.2138	6e-04
S11761	0.4656	0.097	0.0363	0.0873	0.1354	0.1294	0.0491
S11769	0.053	0.2384	0	0.0882	0.5372	0.069	0.0142
S11783	0.1057	0.2027	0	0.0575	0.3096	0.1755	0.149
