ID,Bcells,CD4_Tcells,CD8_Tcells,Endothelial,CAFs,Macrophages
S11163,8.573132,8.621716,9.175318,7.897116,7.263654,8.47961
S11164,8.510204,8.594858,9.170112,8.069414,7.323202,8.6826
S11166,8.099938,7.909398,8.692326,7.63828,6.870294,8.240452
S11173,8.763322,8.70454,9.195124,7.99661,7.253246,8.69696
S11174,8.542666,8.608994,9.109612,7.812028,7.193392,8.52039
S11182,8.743766,8.86457,9.349722,8.070138,7.398034,8.650158
S11188,8.582112,8.624564,9.241004,7.91398,7.276772,8.665826
S11189,8.651938,8.780222,9.334718,7.97024,7.352318,8.834078
S1119,8.829586,8.73474,9.185046,7.934402,7.233352,8.47284
S11195,9.11256,9.168632,9.56047,8.31265,7.768936,9.159076
S11197,8.268748,8.299334,8.795068,7.697426,7.00528,8.248322
S11198,8.456572,8.482698,9.396384,8.02785,7.31658,8.87266
S11211,8.675156,8.713674,9.329672,8.02596,7.449526,8.763944
S11214,8.697468,8.76325,9.104608,8.010336,7.237136,8.519156
S11216,8.779782,8.94419,9.390406,8.139654,7.526644,8.912372
S11224,8.365884,8.479372,9.136502,7.75466,7.178826,8.404676
S11236,8.69806,8.816852,9.287536,8.068348,7.41338,8.75539
S11241,8.612788,8.628464,9.00981,7.986626,7.170064,8.58854
S11243,8.485966,8.47636,9.124816,7.899564,7.249292,8.691018
S11245,8.364704,8.354346,8.981214,7.880182,7.166196,8.610472
S11249,8.433144,8.346244,8.863656,7.8283,7.153926,8.638478
S11274,8.210972,8.187212,8.694208,7.85262,7.168568,8.367862
S11280,8.783896,8.794108,9.36027,8.02573,7.42021,8.743098
S11281,8.483492,8.60552,9.106964,7.936416,7.310388,8.65823
S11285,8.366268,8.30957,8.916856,7.820926,7.119664,8.398092
S11298,8.522546,8.771604,9.197354,7.95248,7.415522,8.664704
S11311,8.496898,8.675804,9.185272,7.865406,7.23696,8.486736
S11312,8.756784,8.855904,9.192946,8.124386,7.465138,8.846682
S11316,8.741112,8.785092,9.189244,7.942146,7.352862,8.613724
S1133,8.44219,8.418794,8.964952,7.845522,6.953424,8.367394
S11330,8.491694,8.621182,9.236606,7.967134,7.141126,8.56771
S11332,8.845952,8.76696,9.316954,7.984654,7.254514,8.469656
S11334,8.869788,8.792552,9.33507,8.036224,7.412654,8.832386
S11335,8.468938,8.525974,9.227084,7.939984,7.255528,8.771342
S11345,8.560444,8.410784,9.049298,8.049476,7.257026,8.75268
S11349,8.942346,9.067944,9.420578,8.286412,7.533518,8.934048
S1135,8.677804,8.737576,9.322796,8.185666,7.396594,8.905224
S11352,8.447416,8.619222,9.058928,8.07691,7.32405,8.680254
S11353,8.54595,8.574778,9.187344,7.935942,7.330696,8.698086
S11368,8.699932,8.850604,9.19326,8.07914,7.404782,8.758674
S11369,8.580078,8.57175,9.213662,7.955338,7.395744,8.5916
S11371,8.520288,8.675598,9.173302,7.981474,7.271758,8.492052
S11377,8.468372,8.514992,9.097482,7.894514,7.306708,8.617392
S11378,8.45754,8.52517,8.820838,7.797244,7.072432,8.36733
S11383,8.937502,9.04088,9.389164,8.196136,7.400082,8.773508
S11384,8.80689,8.866356,9.063838,7.993706,7.291706,8.449738
S11392,8.614132,8.643826,9.122372,8.012366,7.248966,8.614788
S1140,8.345202,8.318388,8.96886,7.737142,7.025278,8.449654
S11410,8.689912,8.68883,9.246502,8.07231,7.393092,8.730554
S11411,8.625922,8.786816,9.471734,8.128458,7.533162,8.751034
S11414,8.549068,8.4995,9.01003,7.94427,7.248384,8.50743
