	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil
S1291	0	26.368042	0	0	0
S12912	0	25.684788	0	0	0
S12922	0	26.87744	0	0	0
S12924	0	26.578032	0	0	0
S12925	0	26.289382	0	0	0
S12944	0	26.264348	0	0	0
S12950	0	27.656036	0	0	0
S12952	0	25.933608	0	0	0
S12953	0	25.992392	0	0	0
S1296	0	26.782452	0	0	0
S12964	0	26.571144	0	0	0
S12968	0	26.681016	0	0	0
S12969	0	25.806572	0	0	0
S12978	0	26.656442	0	0	0
S12979	0	26.297654	0	0	0
S12982	0	26.17965	0	0	0
S12984	0	26.332844	0	0	0
S12989	0	26.08131	0	0	0
S12996	0	26.870222	0	0	0
S13010	0	26.745732	0	0	0
S13018	0	25.638272	0	0	0
S13022	0	26.248782	0	0	0
S13025	0	26.20032	0	0	0
S13026	0	26.691474	0	0	0
S13029	0	26.71044	0	0	0
S13035	0	26.781296	0	0	0
S13039	0	26.941474	0	0	0
S13042	0	25.999636	0	0	0
S13051	0	26.337218	0	0	0
S13053	0	27.719024	0	0	0
S13057	0	26.15287	0	0	0
S1306	0	27.202286	0	0	0
S13060	0	25.550178	0	0	0
S13062	0	23.977662	0	0	0
S13070	0	27.051122	0	0	0
S13073	0	26.583314	0	0	0
S1308	0	26.188872	0	0	0
S13082	0	26.848846	0	0	0
S13084	0	27.087406	0	0	0
S13094	0	26.562272	0	0	0
S13109	0	27.223574	0	0	0
S13114	0	27.205422	0	0	0
S13131	0	25.907142	0	0	0
S13132	0	26.694778	0	0	0
S13134	0	26.70919	0	0	0
S13154	0	26.758478	0	0	0
S13161	0	25.95504	0	0	0
S13169	0	26.606606	0	0	0
S1317	0	27.481672	0	0	0
S13170	0	26.232744	0	0	0
S13173	0	27.038354	0	0	0
S13178	0	26.889122	0	0	0
S13192	0	25.93005	0	0	0
S13194	0	26.342236	0	0	0
S13195	0	25.825484	0	0	0
S132	0	26.177186	0	0	0
S13203	0	25.585938	0	0	0
S13216	0	26.901936	0	0	0
S13217	0	27.296188	0	0	0
S13219	0	25.833388	0	0	0
S1322	0	26.622458	0	0	0
S13227	0	25.714914	0	0	0
S13231	0	26.432908	0	0	0
S13234	0	26.236684	0	0	0
S13243	0	27.099706	0	0	0
S13248	0	26.830744	0	0	0
S13253	0	26.23798	0	0	0
S13272	0	25.753396	0	0	0
S13275	0	26.665516	0	0	0
S13278	0	25.064666	0	0	0
S13283	0	26.576086	0	0	0
S13289	0	27.390426	0	0	0
S1329	0	26.885692	0	0	0
S13291	0	26.49983	0	0	0
S13293	0	26.339104	0	0	0
S13296	0	27.326162	0	0	0
S13299	0	26.299626	0	0	0
S1330	0	24.645386	0	0	0
S13300	0	26.501978	0	0	0
S13305	0	26.944196	0	0	0
S1331	0	26.627326	0	0	0
S13310	0	26.898286	0	0	0
S13311	0	26.9374	0	0	0
S13324	0	25.922292	0	0	0
S13326	0	26.187522	0	0	0
S13329	0	26.083154	0	0	0
S13331	0	26.264506	0	0	0
S13336	0	27.255544	0	0	0
S13339	0	25.913658	0	0	0
S13341	0	25.162254	0	0	0
S13345	0	26.443788	0	0	0
S13346	0	26.006158	0	0	0
S13349	0	26.308728	0	0	0
S1335	0	26.415554	0	0	0
S13352	0	26.191648	0	0	0
S13354	0	26.12121	0	0	0
S13357	0	25.95517	0	0	0
S13367	0	26.863014	0	0	0
S13369	0	25.742706	0	0	0
S13370	0	26.65567	0	0	0
S13374	0	26.418044	0	0	0
S13378	0	27.336166	0	0	0
S13382	0	25.285308	0	0	0
S13389	0	25.635628	0	0	0
S13391	0	27.113496	0	0	0
S13396	0	25.840254	0	0	0
S13398	0	26.443866	0	0	0
S13403	0	26.13929	0	0	0
S13405	0	26.043688	0	0	0
S13407	0	26.999084	0	0	0
S1341	0	25.696948	0	0	0
S13415	0	26.155384	0	0	0
S13416	0	26.524254	0	0	0
S13420	0	27.051106	0	0	0
S13425	0	26.37639	0	0	0
S13433	0	26.693992	0	0	0
S13442	0	25.869728	0	0	0
S13444	0	25.987148	0	0	0
S13445	0	26.708412	0	0	0
S13454	0	27.002614	0	0	0
S13457	0	26.494312	0	0	0
S13461	0	27.12086	0	0	0
S13471	0	26.403364	0	0	0
S13472	0	26.98951	0	0	0
S13476	0	26.767774	0	0	0
S13478	0	26.621456	0	0	0
S1348	0	26.73929	0	0	0
S13486	0	26.28238	0	0	0
S13494	0	26.671368	0	0	0
S13507	0	26.130684	0	0	0
S13510	0	27.08339	0	0	0
S13511	0	26.289452	0	0	0
S13512	0	26.01087	0	0	0
S13515	0	26.158618	0	0	0
S13519	0	26.119074	0	0	0
S13521	0	26.366074	0	0	0
S13533	0	26.045174	0	0	0
S13537	0	25.760454	0	0	0
S13541	0	27.098844	0	0	0
S13543	0	26.091382	0	0	0
S13545	0	26.077434	0	0	0
S1355	0	25.593244	0	0	0
S13558	0	26.073332	0	0	0
S1356	0	26.660292	0	0	0
S13561	0	26.27421	0	0	0
S13564	0	26.513106	0	0	0
S13568	0	26.201526	0	0	0
S13569	0	25.768158	0	0	0
S13570	0	26.494304	0	0	0
S13575	0	26.957028	0	0	0
S13577	0	26.019258	0	0	0
S13585	0	26.133698	0	0	0
S13586	0	26.134842	0	0	0
S13587	0	26.632686	0	0	0
S13589	0	26.547698	0	0	0
S13593	0	26.832692	0	0	0
S13605	0	26.371758	0	0	0
S13616	0	26.808138	0	0	0
S13617	0	26.256236	0	0	0
S13618	0	26.708316	0	0	0
S13625	0	26.423168	0	0	0
S13627	0	26.21688	0	0	0
S13633	0	26.531192	0	0	0
S13636	0	26.326096	0	0	0
S13638	0	25.763368	0	0	0
S13646	0	27.223356	0	0	0
S13647	0	27.005986	0	0	0
S13649	0	26.374662	0	0	0
S1365	0	26.523042	0	0	0
S13654	0	26.256516	0	0	0
S13656	0	27.121904	0	0	0
S13658	0	26.061716	0	0	0
S13664	0	25.822656	0	0	0
S13672	0	26.411124	0	0	0
S13674	0	26.103958	0	0	0
S13675	0	27.164638	0	0	0
S13678	0	26.43332	0	0	0
S13679	0	26.4278	0	0	0
S13698	0	27.066152	0	0	0
S13706	0	25.776832	0	0	0
S13708	0	26.7648	0	0	0
S1371	0	25.878236	0	0	0
S13716	0	26.3289	0	0	0
S13717	0	27.279628	0	0	0
S13725	0	26.141832	0	0	0
