	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
S19799	0	0.993920204319504	0	0.00607979568049638	0	0	0	0
S19800	0	1	0	0	0	0	0	0
S19802	0	1	0	0	0	0	0	0
S19808	0	0.999796933052718	0	0	0.000203066947281918	0	0	0
S1981	0	0.999016792126255	0	0.000983207873744614	0	0	0	0
S19813	0	0.999196805476112	0	0	0.000803194523888077	0	0	0
S19814	0	1	0	0	0	0	0	0
S19815	0	0.998594288962997	0	0	0.00140571103700262	0	0	0
S19827	0	1	0	0	0	0	0	0
S19828	0	0.999588385887884	0	0	0.000411614112116359	0	0	0
S19832	0	1	0	0	0	0	0	0
S19837	0	1	0	0	0	0	0	0
S19840	0	0.999411617450669	0	0	0.000588382549330588	0	0	0
S19847	0	1	0	0	0	0	0	0
S19853	0	0.999991140069706	0	0	8.85993029403537e-06	0	0	0
S19858	0	1	0	0	0	0	0	0
S19861	0	1	0	0	0	0	0	0
S19862	0	1	0	0	0	0	0	0
S19863	0	1	0	0	0	0	0	0
S19864	0	0.999591069999876	0	0	0.000408930000124037	0	0	0
S19868	0	1	0	0	0	0	0	0
S19869	0	0.996579650769508	0	0.00328023881051552	0.00014011041997633	0	0	0
S19876	0	1	0	0	0	0	0	0
S19886	0	1	0	0	0	0	0	0
S19887	0	0.999996385002652	0	0	3.6149973477217e-06	0	0	0
S19899	0	1	0	0	0	0	0	0
S19901	0	1	0	0	0	0	0	0
S19902	0	1	0	0	0	0	0	0
S19907	0	1	0	0	0	0	0	0
S19910	0	0.990997839774555	0	0.00820740160374558	0.000794758621699685	0	0	0
S19913	0	1	0	0	0	0	0	0
S19914	0	1	0	0	0	0	0	0
S1992	0	1	0	0	0	0	0	0
S19933	0	1	0	0	0	0	0	0
S19937	0	1	0	0	0	0	0	0
S19940	0	1	0	0	0	0	0	0
S19946	0	0.999086725456097	0	0.000913274543902925	0	0	0	0
S19950	0	1	0	0	0	0	0	0
S19953	0	1	0	0	0	0	0	0
S19958	0	1	0	0	0	0	0	0
S19959	0	1	0	0	0	0	0	0
S19965	0	1	0	0	0	0	0	0
S19975	0	1	0	0	0	0	0	0
S1998	0	1	0	0	0	0	0	0
S19986	0	1	0	0	0	0	0	0
S2000	0	0.999924350577971	0	0	7.56494220287565e-05	0	0	0
