	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil	Other
S11987	0	1.0	0	0	0	5.6798296784e-58
S11993	0	1.0	0	0	0	5.19392506397e-58
S12001	0	1.0	0	0	0	6.06591809487e-58
S12004	0	1.0	0	0	0	5.93538530016e-58
S12006	0	1.0	0	0	0	5.18453260111e-58
S12010	0	1.0	0	0	0	5.847195734e-58
S12011	0	1.0	0	0	0	5.38753476717e-58
S12012	0	1.0	0	0	0	6.49900831388e-58
S12022	0	1.0	0	0	0	5.72717702892e-58
S12043	0	1.0	0	0	0	4.93595627919e-58
S12052	0	1.0	0	0	0	5.30332729197e-58
S12056	0	1.0	0	0	0	5.38489210032e-58
S12057	0	1.0	0	0	0	5.58454174628e-58
S12058	0	1.0	0	0	0	6.84527641474e-58
S12061	0	1.0	0	0	0	5.22679928243e-58
S12064	0	1.0	0	0	0	5.03622736591e-58
S12073	0	1.0	0	0	0	5.83051282832e-58
S12076	0	1.0	0	0	0	6.01928549217e-58
S12079	0	1.0	0	0	0	6.00790266853e-58
S12089	0	1.0	0	0	0	6.15341918054e-58
S12098	0	1.0	0	0	0	5.34893733807e-58
S1210	0	1.0	0	0	0	5.3345049517e-58
S12101	0	1.0	0	0	0	6.274940395e-58
S12105	0	1.0	0	0	0	4.63979666765e-58
S12106	0	1.0	0	0	0	6.47667576159e-58
S1212	0	1.0	0	0	0	5.04916069391e-58
S12120	0	1.0	0	0	0	5.2876495022e-58
S12129	0	1.0	0	0	0	5.22083220095e-58
S12137	0	1.0	0	0	0	5.52528881011e-58
S12140	0	1.0	0	0	0	5.8522655104e-58
S12159	0	1.0	0	0	0	5.06101284101e-58
S12170	0	1.0	0	0	0	5.76514290845e-58
S12178	0	1.0	0	0	0	5.11729193832e-58
S12179	0	1.0	0	0	0	4.8054119101e-58
S1218	0	1.0	0	0	0	5.24838503012e-58
S12182	0	1.0	0	0	0	5.80488987809e-58
S12196	0	1.0	0	0	0	5.48948179081e-58
S12198	0	1.0	0	0	0	5.39505904454e-58
S1220	0	1.0	0	0	0	5.44851940171e-58
S12200	0	1.0	0	0	0	5.56607782805e-58
S12202	0	1.0	0	0	0	5.98081252309e-58
S12206	0	1.0	0	0	0	5.39861363474e-58
S12208	0	1.0	0	0	0	5.19140091978e-58
S12215	0	1.0	0	0	0	5.4056239538e-58
S12221	0	1.0	0	0	0	4.59736221619e-58
S12228	0	1.0	0	0	0	5.36815061535e-58
S12231	0	1.0	0	0	0	5.78663519323e-58
S12240	0	1.0	0	0	0	5.57275754538e-58
S12241	0	1.0	0	0	0	5.65732741852e-58
S12244	0	1.0	0	0	0	6.09422604925e-58
S12245	0	1.0	0	0	0	5.65767675562e-58
S12249	0	1.0	0	0	0	5.33458530983e-58
S12251	0	1.0	0	0	0	5.90471890431e-58
S12261	0	1.0	0	0	0	6.26455394606e-58
S12264	0	1.0	0	0	0	5.2525058803e-58
S12265	0	1.0	0	0	0	5.8493208376e-58
S12271	0	1.0	0	0	0	5.21920923866e-58
S12276	0	1.0	0	0	0	5.01147027824e-58
S12278	0	1.0	0	0	0	5.61066128734e-58
S12279	0	1.0	0	0	0	5.05715449607e-58
S12282	0	1.0	0	0	0	5.72173275702e-58
S12285	0	1.0	0	0	0	5.48676005116e-58
S12291	0	1.0	0	0	0	5.30610835761e-58
S12294	0	1.0	0	0	0	5.73878681107e-58
S12308	0	1.0	0	0	0	5.55378524724e-58
S12335	0	1.0	0	0	0	5.6412861055e-58
S12344	0	1.0	0	0	0	4.94741689422e-58
S12347	0	1.0	0	0	0	5.77983351239e-58
S12348	0	1.0	0	0	0	5.3254307508e-58
S12354	0	1.0	0	0	0	4.89925988665e-58
S1236	0	1.0	0	0	0	5.23595012711e-58
S12365	0	1.0	0	0	0	5.47079018793e-58
S12366	0	1.0	0	0	0	5.45297856746e-58
S12374	0	1.0	0	0	0	5.08833079764e-58
S12385	0	1.0	0	0	0	5.12751706084e-58
S1239	0	1.0	0	0	0	5.38846656981e-58
S12391	0	1.0	0	0	0	5.55180181395e-58
S12394	0	1.0	0	0	0	5.52048278711e-58
S12406	0	1.0	0	0	0	5.4881737017e-58
S1241	0	1.0	0	0	0	6.02219347057e-58
S12410	0	1.0	0	0	0	5.89256341019e-58
S12417	0	1.0	0	0	0	5.78331361966e-58
S12419	0	1.0	0	0	0	5.52716834225e-58
S12428	0	1.0	0	0	0	5.42570025267e-58
S12431	0	1.0	0	0	0	4.9274052244e-58
S12432	0	1.0	0	0	0	5.0250627859e-58
S12436	0	1.0	0	0	0	5.51763501256e-58
S12437	0	1.0	0	0	0	5.36360024724e-58
S12439	0	1.0	0	0	0	5.42813580778e-58
S12440	0	1.0	0	0	0	5.52129755618e-58
S12441	0	1.0	0	0	0	6.12033034074e-58
S12447	0	1.0	0	0	0	5.41167898795e-58
S12450	0	1.0	0	0	0	5.85886358013e-58
S12452	0	1.0	0	0	0	5.27959380835e-58
S1246	0	1.0	0	0	0	5.69833518752e-58
S12463	0	1.0	0	0	0	5.4723176226e-58
S12464	0	1.0	0	0	0	4.95704534226e-58
S12488	0	1.0	0	0	0	5.4354843133e-58
S12489	0	1.0	0	0	0	5.95922466987e-58
S12496	0	1.0	0	0	0	5.57580373591e-58
S12500	0	1.0	0	0	0	5.59619496032e-58
