Tool	Reference	SampleName	CellType	Prediction	Answer	Error	SqError
Cibersort	BlueCodeV1.tsv	J	Neutrophils	0.0	0	0.0	0.0
Cibersort	BlueCodeV1.tsv	J	CD4 T Cells	0.33955068377	1	0.66044931623	0.436193299309
Cibersort	BlueCodeV1.tsv	J	CD8 T Cell	0.0546765681482	0	0.0546765681482	0.00298952710446
Cibersort	BlueCodeV1.tsv	K	B Cells	0.108850403964	0	0.108850403964	0.0118484104431
Cibersort	BlueCodeV1.tsv	K	Monocytes	0.00891793808474	0	0.00891793808474	7.95296196833e-05
Cibersort	BlueCodeV1.tsv	K	NK Cells	0.0	0	0.0	0.0
Cibersort	BlueCodeV1.tsv	K	Neutrophils	0.0	0	0.0	0.0
Cibersort	BlueCodeV1.tsv	K	CD4 T Cells	0.270765384698	0	0.270765384698	0.0733138935507
Cibersort	BlueCodeV1.tsv	K	CD8 T Cell	0.116205777278	1	0.883794222722	0.781092228117
Cibersort	BlueCodeV1.tsv	L	B Cells	0.0769073660879	0	0.0769073660879	0.00591474295858
Cibersort	BlueCodeV1.tsv	L	Monocytes	0.0658396560536	0	0.0658396560536	0.00433486030926
Cibersort	BlueCodeV1.tsv	L	NK Cells	0.0	0	0.0	0.0
Cibersort	BlueCodeV1.tsv	L	Neutrophils	0.0	0	0.0	0.0
Cibersort	BlueCodeV1.tsv	L	CD4 T Cells	0.315998497228	1	0.684001502772	0.467858055794
Cibersort	BlueCodeV1.tsv	L	CD8 T Cell	0.065699509302	0	0.065699509302	0.00431642552252
Cibersort	BluePrint-Blood.tsv	A	B Cells	0.0234768540594	0.194	0.170523145941	0.0290781433015
Cibersort	BluePrint-Blood.tsv	A	Monocytes	0.436226643041	0.194	0.242226643041	0.0586737465989
Cibersort	BluePrint-Blood.tsv	A	NK Cells	0.0	0.194	0.194	0.037636
Cibersort	BluePrint-Blood.tsv	A	Neutrophils	0.0	0.03	0.03	0.0009
Cibersort	BluePrint-Blood.tsv	A	CD4 T Cells	0.489645636782	0.194	0.295645636782	0.0874063425482
Cibersort	BluePrint-Blood.tsv	A	CD8 T Cell	0.0506508661178	0.194	0.143349133882	0.0205489741848
Cibersort	BluePrint-Blood.tsv	B	B Cells	0.00554925394577	0.194	0.188450746054	0.0355136836884
Cibersort	BluePrint-Blood.tsv	B	Monocytes	0.396401566662	0.194	0.202401566662	0.0409663941872
Cibersort	BluePrint-Blood.tsv	B	NK Cells	0.0	0.194	0.194	0.037636
