B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
S10854	0	0	0.2174	0	0.0018	0.3059	0.2582	0.0766	0.0047	0.1354
S10865	0	0	0.2232	0.112	0.0342	0.3748	0.1578	0	0	0.0981
S10866	0	0	0.225	0.0911	0	0.4698	0.0542	0	0	0.16
S10869	0	0	0.2752	0.0799	0	0.5463	0.0375	0	0	0.061
S10873	0	0	0.2087	0.0806	0	0.4389	0.1565	0	0	0.1153
S10876	0	0	0.266	0.038	0	0.3459	0.1196	1e-04	0	0.2304
S10883	0	0	0.2327	0.0634	0	0.5304	0.1114	0	0	0.0621
S10885	0	0	0.2717	0	0	0.4708	0.1747	0	0	0.0828
S10893	0	0	0.2462	0.0227	0.0184	0.5482	0.103	0	0	0.0614
S10895	0	0	0.2929	0.1051	0	0.4488	0.0874	0	0	0.0658
S10902	0	0	0.1692	0.0377	0	0.452	0.1458	0	0.0046	0.1907
S10903	0	0	0.2072	0.1711	0	0.4555	0.0507	0	0	0.1155
S1092	0	0	0.2371	0	0	0.6075	0.1554	0	0	0
S10925	0	0	0.2549	0.0386	0	0.4458	0.1512	0	0	0.1094
S10927	0	0	0.2538	0	0	0.4601	0.2024	0	0	0.0837
S10936	0	0	0.2061	0.106	0.0257	0.2994	0.1562	0	0	0.2066
S10945	0	0	0.2313	0.0369	0	0.541	0.0891	0	0	0.1017
S10947	0	0	0.2512	0.0384	0	0.367	0.1824	0	0.0255	0.1354
S10949	0	0	0.1162	0.0252	0.0203	0.4601	0.1442	0.0333	0	0.2006
S1095	0	0	0.2206	0.0807	0	0.4158	0.1943	0	0.0141	0.0745
S10961	0	0	0.2033	0.099	0	0.5074	0.1169	0	0	0.0735
S10969	0	0	0.1944	0.0717	0	0.3987	0.147	0	0	0.1882
S10972	0	0	0.2436	0.1607	0.0172	0.3901	0.0828	0	0	0.1056
S10973	0	0	0.1679	0.0312	0	0.5698	0.1221	0	0	0.109
S10978	0	0	0.1413	0.0965	0	0.5236	0.108	0	0	0.1306
S10979	0	0	0.1621	0.0618	0.001	0.4078	0.2146	0	0	0.1526
S10986	0	0	0.2293	0.0221	0.0036	0.4834	0.1731	0	0	0.0885
S10989	0	0	0.1793	0	0	0.4939	0.1827	0	0	0.1441
S10995	0	0	0.2622	0.0253	0	0.4601	0.1354	0	0	0.1169
S11005	0	0	0.2356	0.0853	0.0124	0.361	0.1376	0	0	0.1682
S11008	0	0	0.139	0.0523	0	0.5388	0.1555	0	0	0.1144
S11010	0	0	0.182	3e-04	0.0536	0.3983	0.2089	0.0156	0.0284	0.1129
S11013	0	0	0.2531	0.063	0	0.3578	0.165	0	0	0.161
S11016	0	0	0.2751	0.08	0	0.3701	0.1085	0.0056	0.0044	0.1563
