Gene,B cells naive,B cells memory,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells resting,Mast cells activated
Mix_60,1038.99731018,389.623991332,205.480271609,534.076423493,62.6181414625,811.054022769,19.121488397,103.542489265,110.09783114,24.1858429973,13.6942672677
Mix_61,887.364931666,368.772097665,106.422508173,309.602297307,54.0360143075,315.494483542,72.96893361,114.600865122,302.689187855,48.3480127987,34.3176090833
Mix_62,996.623916802,389.288893403,111.631018568,318.650173455,66.350966855,300.970376708,15.1146990153,93.4059439397,76.8346955143,27.235278628,19.2776457772
Mix_63,319.895353843,129.949955786,113.886326754,316.100034555,73.380365175,276.62174024,100.026014667,109.751502704,404.690148248,76.7158363182,46.073974741
Mix_64,665.87832696,295.642386994,121.654560257,357.782289655,52.4853980275,437.631869475,128.65985769,138.946850812,526.06323138,83.418821015,46.8227222313
Mix_65,675.709633418,292.262249408,152.399919365,428.926469881,57.296133365,487.991557604,103.901443018,127.403824502,430.665442015,71.8150515194,41.4455023608
Mix_66,752.513303909,277.279269398,179.849179314,487.581546325,76.992921425,433.674414552,25.7690594159,97.6928816662,135.710599969,33.8611725868,20.1124366187
Mix_67,1037.40803931,457.824732268,90.8093821749,276.798068745,58.320118035,140.566438353,99.3027342429,140.641721011,410.692777612,68.4730130806,41.5560355247
Mix_68,558.486866749,204.508725331,219.96351162,601.252912002,67.6889103225,710.139796129,80.2669785307,120.021134243,350.228451022,51.148387132,33.0810464095
Mix_69,969.5857154,390.449205973,129.911540354,368.000245528,63.24076634,427.607622312,44.2225988409,113.152970284,218.794912108,50.5926130761,26.439642424
Mix_70,523.57874519,195.757147114,231.589617054,612.920095367,71.6034776675,669.938117238,65.6767643091,112.342235536,292.843803681,53.472124952,28.8872399182
Mix_71,578.314521579,221.503213145,147.644859875,407.801569221,66.170762025,575.491643592,49.8821007247,96.4869233422,230.461937404,51.406276027,29.7445119187
Mix_72,479.712602877,194.620663368,218.103410072,607.636942956,79.9202724075,462.583798965,115.0175349,137.447425014,478.838555248,76.0969260511,40.453471228
Mix_73,314.237102185,91.216001232,172.748408019,467.526068025,80.40841815,480.548374233,38.3885351213,85.3930634313,188.0319932,46.1699949389,27.4944913653
Mix_74,837.314272095,354.034921387,96.3706986703,277.358937945,56.8004336975,294.067177227,80.3591903309,118.282978495,337.19674115,57.2227417713,35.0515687635
Mix_75,561.775858753,187.986704945,149.103984777,419.090112558,81.71339067,287.068016675,32.1344794767,86.7830538943,147.818605598,41.2009933196,25.0954982595
