ID,HPCA_B_cells,HPCA_Monocytes_CD14plusCD16minus,HPCA_NK_cells,HPCA_Neutrophils,HPCA_T_cells_CD4+,HPCA_T_cells_CD8+
10698,6.9515464,8.2428668,7.271362,8.3854788,7.776679,7.7232816
10726,7.0542122,8.2673536,7.113135,8.5195368,7.686275,7.4666648
10729,6.6509622,8.3639744,7.106372,8.5043544,7.375594,7.325871
10733,6.948033,8.5469922,7.2917238,8.8303984,7.7093014,7.7078002
10734,7.0083496,8.2800636,7.2618948,8.410209,7.7157858,7.635008
10735,7.0932496,8.2306386,7.1270098,8.5449,7.5071352,7.3761364
10748,6.876176,8.1481734,7.2205444,8.3357142,7.5159572,7.332893
10756,7.2545108,8.4215888,7.2804166,8.8051808,7.6357316,7.6816192
10757,7.3413012,8.1389592,7.3730834,8.2719138,8.2273608,8.0223658
10764,6.7576766,8.2316286,7.0850106,8.4460578,7.3291978,7.3239624
10767,7.1028318,8.022276,7.54118,8.1607358,7.8295096,7.936058
10778,7.0689008,8.7034482,7.268411,9.140223,7.8095394,7.6767354
10787,6.8938864,8.110118,7.2651352,8.3413662,7.5717874,7.5131312
10805,6.9013494,8.4358392,7.1055032,8.676401,7.2812044,7.25804
10813,6.9235696,8.5108742,7.3778992,8.663928,7.514382,7.589293
10814,6.5011446,7.8409134,6.9649694,8.3660232,7.002053,7.0384066
10815,7.0184288,8.3343606,7.2824972,8.832594,7.676418,7.6509318
10817,6.7116274,7.8356928,7.1691848,8.2638486,7.4785496,7.5068588
10819,7.0271932,8.6888036,7.3906074,8.8685554,7.7799404,7.6868808
10838,6.9485388,8.5258196,7.3117778,8.865593,7.6515614,7.686538
10844,6.9804836,8.0683606,7.141226,8.457751,7.5506416,7.4823484
10846,7.4065464,8.0719616,7.3910562,8.2013012,7.958593,7.8905818
10853,6.6080656,8.5361278,6.965841,9.0333424,7.0549378,7.0949332
10854,7.2766082,8.2694694,7.2234258,8.3694468,7.9154502,7.7127634
10865,6.839119,8.373072,7.4603348,8.5176488,7.558541,7.5843628
10866,6.8538068,8.4484816,7.2350796,8.7612908,7.5334206,7.6280868
10869,6.6751132,8.8719956,7.3102084,9.1396164,7.1876144,7.4134864
10876,7.2541566,8.5866682,7.389952,8.6823132,7.9822856,7.9345718
10883,6.9470992,8.4453806,7.1248036,8.7289694,7.2409528,7.2925024
10885,6.9976144,8.5728972,7.1090638,8.770691,7.4740894,7.2918274
10893,6.8529146,8.5516804,7.1351224,8.99339,7.3955296,7.3809278
